Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
1,HOSP36G129420,APOLLO HOSPITALS DRDO,TELANGANA,RANGA REDDY,,,,9949569678,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,Only CGHS,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
2,HOSP36G129428,APOLLO HOSPITALS ENTERPRISE LTD HYDERGUDA,TELANGANA,HYDERABAD,,,,9949569678,"M1,M1,M2,S8,M1,M7,M1,S7,S1,S12,S13,S2,S5,S6,S7,S8,S9,",Public,Only CGHS,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S12, S13, S2, S5, S6, S9"
3,HOSP36G129517,APOLLO HOSPITALS SECUNDERABAD,TELANGANA,HYDERABAD,,,,9949569678,"M1,M1,M2,S8,M1,M7,M1,S7,S1,S12,S13,S2,S5,S6,S7,S8,S9,",Public,Only CGHS,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S12, S13, S2, S5, S6, S9"
4,HOSP36G132844,Gandhi Hospitals,TELANGANA,HYDERABAD,,,,9849902979,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
5,HOSP36G132845,Niloufer Hospital,TELANGANA,HYDERABAD,,,,9866894898,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
6,HOSP36G132846,M.N.J.Hospitals,TELANGANA,HYDERABAD,,,,9393723397,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
7,HOSP36G132847,Govt. Genl. And Chest Hospital,TELANGANA,HYDERABAD,,,,9849902995,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
8,HOSP36G132848,Osmania General Hospital,TELANGANA,HYDERABAD,,,,9849902978,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
9,HOSP36G132849,"Govt General Hosptial, Nalgonda",TELANGANA,NALGONDA,,,,9989790036,"M1,M1,M2,S8,M1,M7,M1,S7,M2,S1,S10,S11,S2,S3,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S10, S11, S2, S3, S5, S6"
10,HOSP36G132850,Govt Maternity Hospital Hanmakonda,TELANGANA,WARANGAL URBAN,,,,9849305675,"M2,S15,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S15"
