source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
1,1,1,Consultation OPD,350.00,350.00
1,1,2,Consultation- for Inpatients,350.00,350.00
1,1,3,Dressings of wounds,255.00,300.00
1,1,4,Suturing of wounds with local anesthesia,108.00,124.00
1,1,5,Aspiration Plural Effusion - Diagnostic,595.00,700.00
1,1,6,Aspiration Plural Effusion - Therapeutic,595.00,700.00
1,1,7,Abdominal Aspiration - Diagnostic,595.00,700.00
1,1,8,Abdominal Aspiration - Therapeutic,640.00,750.00
1,1,9,Pericardial Aspiration,380.00,437.00
1,1,10,Joints Aspiration,317.00,365.00
1,1,11,Biopsy Skin,230.00,265.00
1,1,12,Removal of Stitches,170.00,200.00
1,1,13,Venesection,595.00,700.00
1,1,14,Phimosis correction/Paraphimosis reduction/Circumcision Under LA,"5,100.00","6,000.00"
1,1,15,Sternal puncture,173.00,199.00
1,1,16,Injection/Sclerotherapy/Banding of Haemorrhoids,595.00,700.00
1,1,17,Injection for Varicose Veins,595.00,700.00
1,1,18,Urinary bladder Catheterisation,595.00,700.00
1,1,19,Dilatation of Urethra stricture,1955.00,2300.00
1,1,20,Incision & Drainage under local Anaesthesia (Large ),1955.00,2300.00
1,1,21,Intercostal Drainage,125.00,144.00
1,1,22,Peritoneal Dialysis,"1,374.00","1,580.00"
1,1,,TREATMENT PROCEDURE SKIN,,
1,1,23,Excision of Moles,345.00,397.00
1,1,24,Excision of Warts,310.00,357.00
1,1,25,Excision of Molluscum contagiosum,130.00,150.00
1,1,26,Excision of Venereal Warts,160.00,184.00
1,1,27,Excision of Corns,140.00,161.00
1,1,28,I/D Injection Keloid(Intralesional Injection),97.00,112.00
1,1,29,Chemical Cautery (s),110.00,127.00
1,1,,TREATMENT PROCEDURE OPTHALMOLOGY,,
1,1,30,Subconjunctival/subtenon’s injections in one eyes,69.00,79.00
1,1,31,Subconjunctival/subtenon’s injections in both eyes,138.00,159.00
1,1,32,Pterygium Surgery,5500.00,6325.00
1,1,33,Conjunctival Peritomy,58.00,67.00
1,1,34,Conjunctival wound repair or exploration following blunt trauma,3300.00,3795.00
1,1,35,Removal of corneal foreign body,115.00,132.00
1,1,36,Cauterization of ulcer/subconjunctival injection in one eye,69.00,79.00
1,1,37,Cauterization of ulcer/subconjunctival injection in both eyes,138.00,159.00
1,1,38,Corneal grafting—Penetrating keratoplasty,"5,750.00","6,613.00"
1,1,39,Corneal grafting—Lamellar keratoplasty,"5,000.00","5,750.00"
1,1,40,Cyanoacrylate /fibrin glue application for corneal perforation,690.00,794.00
1,1,41,Bandage contact lenses for corneal perforation,460.00,529.00
1,1,42,Scleral grafting or conjunctival flap for corneal perforation,"2,300.00","2,645.00"
2,1,43,Keratoconus correction with therapeutic contact lenses,"1,200.00","1,380.00"
2,1,44,Ultraviolet (UV) - radiation for cross-linking for,"1,800.00","2,070.00"
2,1,45,EDTA for band shaped keratopathy,863.00,992.00
2,1,46,Arcuate keratotomy for astigmatism,"2,800.00","3,220.00"
2,1,47,Re-suturing (Primary suturing) of corneal wound,"1,150.00","1,323.00"
2,1,48,Penetrating keratoplasty with glaucoma surgery,"12,000.00","13,800.00"
2,1,49,Penetrating keratoplasty --- with vitrectomy,"12,144.00","13,966.00"
2,1,50,Penetrating keratoplasty with IOL implantation,"12,290.00","14,134.00"
2,1,51,DALK- Deep anterior lamellar keratoplasty,"17,250.00","19,838.00"
2,1,52,Keratoprosthesis stage I and II,"11,500.00","13,225.00"
2,1,53,DSAEK- Descemet’s stripping automated endothelial keratoplasty,"16,675.00","19,176.00"
2,1,54,ALTK- Automated lamellar therapeutic keratoplasty,"16,500.00","18,975.00"
2,1,55,Probing and Syringing of lacrimal sac- in one eye,69.00,79.00
2,1,56,Probing and Syringing of lacrimal sac- in both eye,138.00,159.00
2,1,57,Dacryocystorhinostomy—Plain,"2,588.00","2,976.00"
2,1,58,Dacryocystorhinostomy—Plain with intubation and/or with lacrimal implants,"9,500.00","10,925.00"
2,1,59,Dacryocystorhinostomy—conjunctival with implant,"9,200.00","10,580.00"
2,1,60,Caliculoplasty,"2,300.00","2,645.00"
2,1,61,Dacryocystectomy,"1,725.00","1,984.00"
2,1,62,Punctal plugs for dry eyes,130.00,150.00
2,1,63,Refraction,40.00,46.00
2,1,64,Indirect Ophthalmoscopy,67.00,77.00
2,1,65,Orthoptic check-up- with synoptophore,44.00,51.00
2,1,66,Lees’ charting or Hess’ charting,100.00,115.00
2,1,67,Orthoptic exercises,50.00,58.00
2,1,68,Pleoptic exercises,50.00,58.00
2,1,69,Perimetry/field test—Goldman,144.00,166.00
2,1,70,Perimetry/field test— automated,144.00,166.00
2,1,71,Fluorescein angiography for fundus or iris,920.00,"1,058.00"
2,1,72,Ultrasound A- Scan,777.00,894.00
2,1,73,Ultrasound B- Scan,230.00,265.00
2,1,74,Fundus Photo Test,200.00,230.00
2,1,75,Indocyanin green angiography,920.00,"1,058.00"
2,1,76,Corneal endothelial cell count with specular microscopy,230.00,265.00
2,1,77,Corneal topography,331.00,381.00
2,1,78,Corneal pachymetry,230.00,265.00
2,1,79,Auto-refraction,35.00,40.00
2,1,80,Macular function tests,44.00,51.00
2,1,81,Potential acuity metry,100.00,115.00
2,1,82,Laser interferometry,173.00,199.00
