source_page,extracted_table_index,column_1,column_2,column_3,column_4
1,1,CGHS Package Rate List- Jaipur 2014 updated on 01.02.2024,,,
1,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST,Non NABH / Non NABL (Jaipur),NABH/NABL (Jaipur)
1,1,1,Consultation OPD,350,350
1,1,2,Consultation- for Inpatients (IPD),350,350
1,1,,Room Rent General Ward,1500,1500
1,1,,Room Rent Semi -Private Ward,3000,3000
1,1,,Room Rent Private Ward,4500,4500
1,1,3,Dressings of wounds,255,300
1,1,4,Suturing of wounds with local anesthesia,97,112
1,1,5,Aspiration Plural Effusion - Diagnostic,595,700
1,1,6,Aspiration Plural Effusion - Therapeutic,595,700
1,1,7,Abdominal/Peritoneal Aspirtation -Diagnostic/Ascitic Tapping/ Paracentesis -,595,700
1,1,8,DAibadgonmosintiacl/Peritoneal Aspirtation -Therapeutic/Ascitic Tapping/ Paracentesis-,640,750
1,1,9,TPehreircaapreduiatilc Aspiration,342,393
1,1,10,Joints Aspiration,285,328
1,1,11,Biopsy Skin,207,238
1,1,12,Removal of Stitches,170,200
1,1,13,Venesection,595,700
1,1,14,Phimosis Under LA,5100,6000
1,1,15,Sternal puncture,156,179
1,1,16,Injection/ Sclerotherapy / Banding of Haemorrhoids,595,700
1,1,17,Injection for Varicose Veins,595,700
1,1,18,Urinary Bladder Catheterisation,595,700
1,1,19,Dilatation of Urethra,1955,2300
2,1,20,Incision & Drainage,1955,2300
2,1,21,Intercostal Drainage,113,130
2,1,22,Peritoneal Dialysis,1319,1517
2,1,,TREATMENT PROCEDURE SKIN,,
2,1,23,Excision of Moles,311,358
2,1,24,Excision of Warts,279,321
2,1,25,Excision of Molluscum contagiosum,117,135
2,1,26,Excision of Venereal Warts,144,166
2,1,27,Excision of Corns,126,145
2,1,28,I/D Injection Keloid(Intralesional Injection),87,100
2,1,29,Chemical Cautery (s),99,114
2,1,,TREATMENT PROCEDURE OPTHALMOLOGY,,
2,1,30,Subconjunctival/subtenon’s injections in one eyes,62,71
2,1,31,Subconjunctival/subtenon’s injections in both eyes,124,143
2,1,32,Pterygium Surgery,5500,6325
2,1,33,Conjunctival Peritomy,52,60
2,1,34,Conjunctival wound repair or exploration following blunt trauma,3300,3795
2,1,35,Removal of corneal foreign body,104,120
2,1,36,Cauterization of ulcer/subconjunctival injection in one eye,62,71
2,1,37,Cauterization of ulcer/subconjunctival injection in both eyes,124,143
2,1,38,Corneal grafting—Penetrating keratoplasty,5175,5951
2,1,39,Corneal grafting—Lamellar keratoplasty,5000,5750
2,1,40,Cyanoacrylate /fibrin glue application for corneal perforation,621,714
2,1,41,Bandage contact lenses for corneal perforation,414,476
2,1,42,Scleral grafting or conjunctival flap for corneal perforation,2070,2381
2,1,43,Keratoconus correction with therapeutic contact lenses,1200,1380
2,1,44,Ultraviolet (UV) - radiation for cross-linking for keratoconus,1620,1863
2,1,45,EDTA for band shaped keratopathy,777,894
2,1,46,Arcuate keratotomy for astigmatism,2520,2898
2,1,47,Re-suturing (Primary suturing) of corneal wound,1035,1190
2,1,48,Penetrating keratoplasty with glaucoma surgery,10930,12570
2,1,49,Penetrating keratoplasty with vitrectomy,10930,12570
3,1,50,Penetrating keratoplasty with IOL implantation,12290,14134
3,1,51,DALK- Deep anterior lamellar keratoplasty,15525,17854
3,1,52,Keratoprosthesis stage I and II,10350,11903
3,1,53,DSAEK- Descemet’s stripping automated endothelial,15008,17259
3,1,54,kAeLraTtKop- lAasutytomated lamellar therapeutic keratoplasty,14850,17078
3,1,55,Probing and Syringing of lacrimal sac- in one eye,62,71
3,1,56,Probing and Syringing of lacrimal sac- in both eye,124,143
3,1,57,Dacryocystorhinostomy—Plain,2588,2976
3,1,58,Dacryocystorhinostomy—Plain with intubation and/or with lacrimal implants,8775,10091
3,1,59,Dacryocystorhinostomy—conjunctival with implant,8280,9522
3,1,60,Caliculoplasty,2070,2381
3,1,61,Dacryocystectomy,1725,1984
3,1,62,Punctal plugs for dry eyes,117,135
3,1,63,Refraction,36,41
3,1,64,Indirect Ophthalmoscopy,60,69
3,1,65,Orthoptic check-up- with synoptophore,40,46
3,1,66,Lees’ charting or Hess’ charting,90,104
3,1,67,Orthoptic exercises,50,58
3,1,68,Pleoptic exercises,50,58
3,1,69,Perimetry/field test—Goldman,130,150
3,1,70,Perimetry/field test— automated,130,150
3,1,71,Fluorescein angiography for fundus or iris,828,952
3,1,72,Ultrasound A- Scan,777,894
3,1,73,Ultrasound B- Scan,207,238
3,1,74,Fundus Photo Test,180,207
3,1,75,Indocyanin green angiography,828,952
3,1,76,Corneal endothelial cell count with specular microscopy,207,238
3,1,77,Corneal topography,298,343
3,1,78,Corneal pachymetry,207,238
3,1,79,Auto-refraction,32,37
4,1,80,Macular function tests,40,46
4,1,81,Potential acuity metry,100,115
4,1,82,Laser interferometry,156,179
4,1,83,OCT-Optical coherence tomography,1913,2200
4,1,84,HRT- Heidelberg’s retinal tomogram,135,155
4,1,85,GDx Nerve fibre layer analyzer,88,101
4,1,86,UBM- Ultrasound bio microscopy,135,155
4,1,87,Non Contact tonometry (NCT),45,52
4,1,88,IOP measurement with schiotz,27,31
4,1,89,IOP measurement with applation tonometry,45,52
4,1,90,Three mirror examination for retina,52,60
4,1,91,90 D lens examination,45,52
4,1,92,Gonioscopy,52,60
4,1,93,Chalazion incision and curettage in one eye,360,414
4,1,94,Chalazion incision and curettage in both eyes,388,446
4,1,95,Ptosis surgery with fasanella servat procedure,2070,2381
4,1,96,Ptosis surgery with LPS resection one lid,4950,5693
4,1,97,Ptosis surgery with Sling surgery one lid,6003,6903
4,1,98,Ectropion surgery- one lid,1400,1610
4,1,99,Ectropion surgery- both lids,2500,2875
4,1,100,Epicanthus correction,1395,1604
4,1,101,Cantholysis and canthotomy,518,596
4,1,102,Entropion surgery- one lid,1242,1428
4,1,103,Entropion surgery- both lids,1800,2070
4,1,104,Tarsorraphy,650,748
4,1,105,Suturing of lid lacerations,1035,1190
4,1,106,Lid retraction repair,1530,1760
4,1,107,Concretions removal,104,120
4,1,108,Bucket handle procedure for lid tumors,311,358
4,1,109,Cheek rotation flap for lid tumors,6210,7142
4,1,110,Orbitotomy,7245,8332
4,1,111,Enucleation,2700,3105
5,1,112,Enucleation with orbital implants and artificial prosthesis,2700,3105
5,1,113,Evisceration,3105,3571
5,1,114,Evisceration with orbital implants and artificial prosthesis,5124,5893
5,1,115,Telecanthus correction,4658,5357
5,1,116,Orbital decompression,5175,5951
5,1,117,Exenteration,5175,5951
5,1,118,Exenteration with skin grafting,6210,7142
5,1,119,Fracture orbital repair,8280,9522
5,1,120,Retinal laser procedures,1350,1553
5,1,121,Retinal detachment surgery (RDS),10350,11903
5,1,122,Retinal detachment surgery (RDS) with scleral buckling,12420,14283
5,1,123,Buckle removal,1035,1190
5,1,124,Silicone oil removal,2520,2898
5,1,125,Anterior retinal cryopexy,1046,1203
5,1,126,Squint correction for one eye,4500,5175
5,1,127,Squint correction for both eyes,6750,7763
5,1,128,Trabeculectomy,6900,7935
5,1,129,Trabeculotomy,6210,7142
5,1,130,Trabeculectomy with Trabeculotomy,9315,10712
5,1,131,Trephination,2070,2381
5,1,132,Goniotomy,311,358
5,1,133,Glaucoma surgery with Glaucoma valves,6310,7256
5,1,134,Cyclocryotherapy,1035,1190
5,1,135,YAG laser iridotomy,1350,1553
5,1,136,YAG laser capsulotomy,984,1132
5,1,137,ALT-Argon laser trabeculoplasty,1495,1719
5,1,138,PDT-Photodymic therapy,3105,3571
5,1,139,TTT- Transpupillary thermal therapy,3000,3450
