source_page,extracted_table_index,Sr. No.,CGHS TREATMENTP(cid:10)ROCEDURE/INVESTIGATION LIST (Lucknow),Non- NABH/Non-(cid:10)NABL Rates,NABH/NABL Rates
1,1,1,Consultation OPD,135,135
1,1,2,Consultation- for Inpatients,270,270
1,1,3,Dressings of wounds,45,52.2
1,1,4,Suturing of wounds with local anesthesia,97.2,111.6
1,1,5,Aspiration Plural Effusion - Diagnostic,108,124.2
1,1,6,Aspiration Plural Effusion - Therapeutic,173.7,199.8
1,1,7,Abdominal Aspiration - Diagnostic,310.5,357.3
1,1,8,Abdominal Aspiration - Therapeutic,414,476.1
1,1,9,Pericardial Aspiration,342,393.3
1,1,10,Joints Aspiration,285.3,328.5
1,1,11,Biopsy Skin,207,238.5
1,1,12,Removal of Stitches,32.4,36.9
1,1,13,Venesection,111.6,128.7
1,1,14,Phimosis Under LA,1179.9,1357.2
1,1,15,Sternal puncture,155.7,179.1
1,1,16,Injection for Haemorrhoids,372.6,428.4
1,1,17,Injection for Varicose Veins,315,362.7
1,1,18,Catheterisation,425,500
1,1,19,Dilatation of Urethra,450,517.5
1,1,20,Incision & Drainage,378,434.7
1,1,21,Intercostal Drainage,112.5,129.6
1,1,22,Peritoneal Dialysis,1319.4,1517.4
1,1,,TREATMENT PROCEDURE SKIN,,
1,1,23,Excision of Moles,310.5,357.3
1,1,24,Excision of Warts,279,321.3
1,1,25,Excision of Molluscum contagiosum,117,135
1,1,26,Excision of Venereal Warts,144,165.6
1,1,27,Excision of Corns,126,144.9
1,1,28,I/D Injection Keloid(Intralesional Injection),87.3,100.8
1,1,29,Chemical Cautery (s),99,114.3
1,1,,TREATMENT PROCEDURE OPTHALMOLOGY,,
1,1,30,Subconjunctival/subtenon’s injections in one eyes,62.1,71.1
1,1,31,Subconjunctival/subtenon’s injections in both eyes,124.2,142.2
1,1,32,Pterygium Surgery,5500,6325
1,1,33,Conjunctival Peritomy,52.2,60.3
1,1,34,Conjunctival wound repair or exploration following blunt(cid:10)trauma,3300,3795
1,1,35,Removal of corneal foreign body,103.5,118.8
1,1,36,Cauterization of ulcer/subconjunctival injection in one eye,62.1,71.1
1,1,37,Cauterization of ulcer/subconjunctival injection in both eyes,124.2,143.1
