source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
1,1,CGHS Package Rates Updated on 12.12.2024,,,,
1,1,Sr. No.,CGHS NAGPUR TREATMENT PROCEDURE/INVESTIGATION LIST,Non-NABH/Non- NABL rates in rupee,NABH/NABL rates in rupee,Revised on
1,1,1,Consultation OPD,350,350,12.04.2023
1,1,2,Consultation- for Inpatients,350,350,12.04.2023
1,1,3,Dressings of wounds,255,300,01.02.2024
1,1,4,Suturing of wounds with local anesthesia,97,112,
1,1,5,Aspiration Plural Effusion - Diagnostic,595,700,01.02.2024
1,1,6,Aspiration Plural Effusion - Therapeutic,595,700,01.02.2024
1,1,7,Abdominal / Peritoneal Aspiration - Diagnostic / Ascitic tapping / paracentesis - Diagnostic,595,700,01.02.2024
1,1,8,Abdominal / Peritoneal Aspiration - Therapeutic/ Ascitic tapping / paracentesis- Therapeutic,640,750,01.02.2024
1,1,9,Pericardial Aspiration,380,437,
1,1,10,Joints Aspiration,317,365,
1,1,11,Biopsy Skin,230,265,
1,1,12,Removal of Stitches /Sutures (7- 12 sutures),170,200,01.02.2024
1,1,13,Venesection,595,700,01.02.2024
1,1,14,Phimosis correction / Paraphimosis reduction / Circumcision Under LA,5100,6000,01.02.2024
1,1,15,Sternal puncture,173,199,
1,1,16,Injection /Sclerotherapy / Banding of Haemorrhoids,595,700,01.02.2024
1,1,17,Injection for Varicose Veins,595,700,01.02.2024
1,1,18,Urinary bladder Catheterisation,595,700,01.02.2024
1,1,19,Dilatation of Urethral stricture,1955,2300,01.02.2024
1,1,20,Incision & Drainage under local Anaesthesia (Large),1955,2300,01.02.2024
1,1,21,Intercostal Drainage,125,144,
1,1,22,Peritoneal Dialysis,1466,1686,
1,1,,,30,,
1,1,,TREATMENT PROCEDURE SKIN,,,
1,1,23,Excision of Moles,345,397,
1,1,24,Excision of Warts,280,322,
1,1,25,Excision of Molluscum contagiosum,130,150,
1,1,26,Excision of Veneral Warts,160,184,
1,1,27,Excision of Corns,140,161,
1,1,28,I/D Injection Keloid,97,112,
1,1,29,Chemical Cautery (s),110,127,
1,1,,TREATMENT PROCEDURE OPTHALMOLOGY,,,
1,1,30,Subconjunctival/subtenon’s injections in one eyes,69,79,
1,1,31,Subconjunctival/subtenon’s injections in both eyes,138,158,
1,1,32,Pterygium Surgery,5500,6325,18.02.2015
1,1,33,Conjunctival Peritomy,58,67,
1,1,34,Conjunctival wound repair or exploration following blunt trauma,3300,3795,18.02.2015
1,1,35,Removal of corneal foreign body,105,120,
1,1,36,Cauterization of ulcer/subconjunctival injection in one eye,69,79,
1,1,37,Cauterization of ulcer/subconjunctival injection in both eyes,138,159,
1,1,38,Corneal grafting—Penetrating keratoplasty,5750,6613,
1,1,39,Corneal grafting—Lamellar keratoplasty,4500,5175,
1,1,40,Cyanoacrylate /fibrin glue application for corneal perforation,690,794,
1,1,41,Bandage contact lenses for corneal perforation,460,529,
1,1,42,Scleral grafting or conjunctival flap for corneal perforation,2300,2645,
1,1,43,Keratoconus correction with therapeutic contact lenses,1080,1242,
1,1,44,UV radiation for cross-linking for keratoconus,1800,2070,
1,1,45,EDTA for band shaped keratopathy,780,893,
1,1,46,Arcuate keratotomy for astigmatism,2520,2898,
1,1,47,Re-suturing (Primary suturing) of corneal wound,1150,1323,
2,1,48,Penetrating keratoplasty ---- with glaucoma surgery,12144,13966
2,1,49,Penetrating keratoplasty --- with vitrectomy,10930,12569
2,1,50,Penetrating keratoplasty ---- with IOL implantation,12290,14133
2,1,51,DALK- Deep anterior lamellar keratoplasty,15525,17854
2,1,52,Keratoprosthesis stage I and II,10350,11903
2,1,53,DSAEK- Descemet’s stripping automated endothelial keratoplasty,16675,19176
2,1,54,ALTK- Automated lamellar therapeutic keratoplasty,14850,17078
2,1,55,Probing and Syringing of lacrimal sac- in one eye,69,79
2,1,56,Probing and Syringing of lacrimal sac- in both eye,138,159
2,1,57,Dacryocystorhinostomy—Plain,2588,2976
2,1,58,Dacryocystorhinostomy—Plain with intubation and/or with lacrimal implants,8775,10092
2,1,59,Dacryocystorhinostomy—conjunctival with implant,8280,9532
2,1,60,Caliculoplasty,2070,2381
2,1,61,Dacryocystectomy,1725,1984
2,1,62,Punctal plugs for dry eyes,117,135
2,1,63,Refraction,40,46
2,1,64,Indirect Ophthalmoscopy,67,77
2,1,65,Orthoptic check-up- with synoptophore,44,51
2,1,66,Lees’ charting or Hess’ charting,100,115
2,1,67,Orthoptic exercises,50,58
2,1,68,Pleoptic exercises,50,58
2,1,69,Perimetry/field test—Goldman,144,166
2,1,70,Perimetry/field test— automated,144,166
2,1,71,Fluorescein angiography for fundus or iris,828,952
2,1,72,Ultrasound A- Scan,777,893
2,1,73,Ultrasound B- Scan,230,265
2,1,74,Fundus Photo Test,180,207
2,1,75,Indocyanin green angiography,828,952
2,1,76,Corneal endothelial cell count with specular microscopy,230,265
2,1,77,Corneal topography,298,343
2,1,78,Corneal pachymetry,230,265
2,1,79,Auto-refraction,35,40
2,1,80,Macular function tests,44,51
2,1,81,Potential acuity metry,90,104
2,1,82,Laser interferometry,173,199
2,1,83,OCT-Optical coherence tomography,1913,2250
2,1,84,HRT- Heidelberg’s retinal tomogram,150,173
2,1,85,GDX--- Nerve fibre layer analyzer,88,101
2,1,86,UBM- Ultrasound bio microscopy,135,156
2,1,87,Non Contact tonometry,50,58
2,1,88,IOP measurement with schiotz,30,35
2,1,89,IOP measurement with applation tonometry,50,58
2,1,90,Three mirror examination for reti,58,67
2,1,91,90 D lens examination,50,58
2,1,92,Gonioscopy,58,67
2,1,93,Chalazion incision and curettage in one eye,400,460
2,1,94,Chalazion incision and curettage in both eyes,431,496
2,1,95,Ptosis surgery with fasanella servat procedure,2300,2645
2,1,96,Ptosis surgery with LPS resection one lid,5500,6325
2,1,97,Ptosis surgery with Sling surgery one lid,6003,6904
2,1,98,Ectropion surgery- one lid,1400,1610
2,1,99,Ectropion surgery- both lids,2500,2875
2,1,100,Epicanthus correction,1550,1783
2,1,101,Cantholysis and canthotomy,575,662
2,1,102,Entropion surgery- one lid,1380,1587
2,1,103,Entropion surgery- both lids,2000,2300
2,1,104,Tarsorraphy,650,748
3,1,105,Suturing of lid lacerations,1035,1191,
3,1,106,Lid retraction repair,1530,1760,
3,1,107,Concretions removal,115,132,
3,1,108,Bucket handle procedure for lid tumors,345,397,
3,1,109,Cheek rotation flap for lid tumors,6900,7935,
3,1,110,Orbitotomy,7245,8332,
3,1,111,Enucleation,3000,3450,
3,1,112,Enucleation with orbital implants and artificial prosthesis,3000,3450,
3,1,113,Evisceration,3450,3968,
3,1,114,Evisceration with orbital implants and artificial prosthesis,5124,5892,
3,1,115,Telecanthus correction,5175,5951,
3,1,116,Orbital decompression,5750,6613,
3,1,117,Exenteration,5750,6613,
3,1,118,Exenteration with skin grafting,6210,7142,
3,1,119,Fracture orbital repair,8280,9522,
3,1,120,Retinal laser procedures,1350,1553,
3,1,121,Retinal detachment surgery,11500,13225,
3,1,122,Retinal detachment surgery with scleral buckling,13800,15870,
3,1,123,Buckle removal,1150,1323,
3,1,124,Silicone oil removal,2520,2898,
3,1,125,Anterior retinal cryopexy,1162,1336,
3,1,126,Squint correction for one eye,4500,5175,
3,1,127,Squint correction for both eyes,6750,7763,
3,1,128,Trabeculectomy,6210,7142,
3,1,129,Trabeculotomy,6210,7142,
3,1,130,Trabeculectomy with Trabeculotomy,9315,10713,
3,1,131,Trephition,2070,2381,
3,1,132,Goniotomy,345,397,
3,1,133,Glaucoma surgery with Glaucoma valves (valve cost extra),6210,7142,
3,1,134,Cyclocryotherapy,1150,1323,
3,1,135,YAG laser iridotomy,1350,1553,
3,1,136,YAG laser capsulotomy,984,1131,
3,1,137,ALT-Argon laser trabeculoplasty,1495,1719,
3,1,138,PDT-Photodymic therapy,3105,3572,
3,1,139,TTT- Transpupillary thermal therapy,3000,3450,
3,1,140,PTK- Phototherapeutic keratectomy,7500,8625,
3,1,141,Argon/diode laser for retinal detatchment,1150,1323,
3,1,142,Intralase application for keratoconus,5750,6613,
3,1,143,EOG- electro-oculogram,810,932,
3,1,144,ERG- Electro-retinogram,715,822,
3,1,145,VEP- visually evoked potential,720,828,
3,1,146,Vitrectomy- pars plana,10350,11903,
3,1,147,Intravitreal injections- of antibiotics,1150,1323,
3,1,148,Intravitreal injections- of lucentis excluding cost of drug,3000,3450,
3,1,149,X- Ray orbit,115,132,
3,1,150,CT-orbit and brain,1600,1840,18.02.2015
3,1,151,MRI- Orbit and brain,3105,3571,
3,1,152,Dacryocystography,340,391,
3,1,153,Orbital angio-graphical studies,1500,1725,
3,1,154,ECCE with IOL,3105,3571,
3,1,155,SICS with IOL,4500,5175,
3,1,156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,9703,11158,
3,1,157,Pars plana lensectomy with/without IOL,9315,10713,
3,1,158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6900,7935,
3,1,159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),13500,15525,
3,1,160,Optic nerve sheathotomy,7500,8625,
