source_page,extracted_table_index,column_1,column_2,column_3,column_4
1,1,CGHS Package Rates CGHS Pune - Updated on 04/07/2024,,,
1,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST(CGHS Pune),Non- NABH/ Non-NABL,NABH/NABL Rates
1,1,,New room Rent (General Ward w.e.f 12/4/2023),1500,1500
1,1,,New room Rent (Semi Pvt Ward w.e.f 12/4/2023),3000,3000
1,1,,New room Rent (Private Ward w.e.f 12/4/2023),4500,4500
1,1,,ICU INCLUDING ROOM RENT (w.e.f 12/4/2023),4 5 9 0,5 4 0 0
1,1,2,Consultation OPD (w.e.f 12/4/2023),350,350
1,1,2,Consultation- for Inpatients(w.e.f 12/4/2023),350,350
1,1,3,Dressings of wounds,255,300
1,1,4,Suturing of wounds with local anesthesia,108,124
1,1,5,Aspiration Plural Effusion - Diagnostic,595,700
1,1,6,Aspiration Plural Effusion - Therapeutic,595,700
1,1,7,Abdominal / Peritoneal Aspiration - Diagnostic /Ascitic tapping/paracentesis- Diagnostic,595,700
1,1,8,Abdominal / Peritoneal Aspiration - Diagnostic /Ascitic tapping/paracentesis- Therapeutic,640,750
1,1,9,Pericardial Aspiration,380,437
1,1,10,Joints Aspiration,317,365
1,1,11,Biopsy Skin,230,265
1,1,12,Removal of Stitches/Sutures(7-12 Sutures),170,200
1,1,13,Venesection,595,700
1,1,14,Phimosis correction / paraphimosis reduction / circumcision Under LA,5100,6000
1,1,15,Sternal puncture,173,199
1,1,16,Injection/Sclerotherapy banding of Haemorrhoids,595,700
1,1,17,Injection for Varicose Veins,595,700
1,1,18,Urinary bladder Catheterisation,595,700
1,1,19,Dilatation of UrethrAL Stricture,1955,2300
1,1,20,Incision & Drainage under local Anaesthesia (Large),1955,2300
1,1,21,Intercostal Drainage,125,144
1,1,22,Peritoneal Dialysis,1319,1517
1,1,,TREATMENT PROCEDURE SKIN,,
1,1,23,Excision of Moles,345,397
1,1,24,Excision of Warts,310,357
1,1,25,Excision of Molluscum contagiosum,130,150
1,1,26,Excision of Venereal Warts,160,184
1,1,27,Excision of Corns,140,161
1,1,28,I/D Injection Keloid(Intralesional Injection),97,112
1,1,29,Chemical Cautery (s),110,127
1,1,,TREATMENT PROCEDURE OPTHALMOLOGY,,
1,1,30,Subconjunctival/subtenon’s injections in one eyes,69,79
1,1,31,Subconjunctival/subtenon’s injections in both eyes,138,158
1,1,32,Pterygium Surgery,5500,6325
1,1,33,Conjunctival Peritomy,58,67
2,1,34,Conjunctival wound repair or exploration following blunt trauma,3300,3795
2,1,35,Removal of corneal foreign body,115,132
2,1,36,Cauterization of ulcer/subconjunctival injection in one eye,69,79
2,1,37,Cauterization of ulcer/subconjunctival injection in both eyes,138,159
2,1,38,Corneal grafting—Penetrating keratoplasty,5750,6613
2,1,39,Corneal grafting—Lamellar keratoplasty,5000,5750
2,1,40,Cyanoacrylate /fibrin glue application for corneal perforation,690,794
2,1,41,Bandage contact lenses for corneal perforation,414,476
2,1,42,Scleral grafting or conjunctival flap for corneal perforation,2300,2645
2,1,43,Keratoconus correction with therapeutic contact lenses,1200,1380
2,1,44,Ultraviolet (UV) - radiation for cross-linking for keratoconus,1800,2070
2,1,45,EDTA for band shaped keratopathy,863,992
2,1,46,Arcuate keratotomy for astigmatism,2800,3220
2,1,47,Re-suturing (Primary suturing) of corneal wound,1150,1323
2,1,48,Penetrating keratoplasty with glaucoma surgery,12144,13966
2,1,49,Penetrating keratoplasty --- with vitrectomy,12144,13966
2,1,50,Penetrating keratoplasty with IOL implantation,13656,15703
2,1,51,DALK- Deep anterior lamellar keratoplasty,15525,17854
2,1,52,Keratoprosthesis stage I and II,11500,13225
2,1,53,DSAEK- Descemet’s stripping automated endothelial keratoplasty,15008,17258
2,1,54,ALTK- Automated lamellar therapeutic keratoplasty,14850,17078
2,1,55,Probing and Syringing of lacrimal sac- in one eye,69,79
