source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL Rates
1,1,1,Consultation OPD,350,350
1,1,2,Consultation- for Inpatients,350,350
1,1,3,Dressings of wounds,255,300
1,1,4,Suturing of wounds with local anesthesia,108,124
1,1,5,Aspiration Plural Effusion - Diagnostic,595,700
1,1,6,Aspiration Plural Effusion - Therapeutic,595,700
1,1,7,Abdominal/Peritoneal Aspiration. Therapeutic/ Ascitic tapping/ Paracentesis - Diagnostic,595,700
1,1,8,Abdominal/Peritoneal Aspiration. Therapeutic/ Ascitic tapping/ Paracentesis -Therapeutic,640,750
1,1,9,Pericardial Aspiration,380,437
1,1,10,Joints Aspiration,317,365
1,1,11,Biopsy Skin,230,265
1,1,12,Removal of Stitches/Sutuches/Sutures (7-12 sutures),170,200
1,1,13,Venesection,595,700
1,1,14,Phimosis Correction/Paraphimosis reduction/ Circumscision Under LA,5100,6000
1,1,15,Sternal puncture,173,199
1,1,16,Injection/ Sclerotherapy/ Banding of Haemorrhoids,595,700
1,1,17,Injection for Varicose Veins,595,700
1,1,18,Urinary bladder Catheterisation,595,700
1,1,19,Dilatation of Urethral Stricture,1955,2300
1,1,20,Incision & Drainage under Local Anaesthesia (Large),1955,2300
1,1,21,Intercostal Drainage,125,144
1,1,22,Peritoneal Dialysis,1466,1686
2,1,23,Excision of Moles,345,397
2,1,24,Excision of Warts,310,357
2,1,25,Excision of Molluscum contagiosum,130,150
2,1,26,Excision of Venereal Warts,160,184
2,1,27,Excision of Corns,140,161
2,1,28,I/D Injection Keloid(Intralesional Injection),97,112
2,1,29,Chemical Cautery (s),110,127
2,1,,TREATMENT PROCEDURE OPTHALMOLOGY,Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
2,1,30,Subconjunctival/subtenon’s injections in one eye,60,69
2,1,31,Subconjunctival/subtenon’s injections in both eyes,120,138
2,1,32,Pterygium Surgery,5500,6325
2,1,33,Conjunctival Peritomy,50,58
2,1,34,Conjunctival wound repair or exploration following blunt trauma,3300,3795
2,1,35,Removal of corneal foreign body,100,115
2,1,36,Cauterization of ulcer/subconjunctival injection in one eye,60,69
2,1,37,Cauterization of ulcer/subconjunctival injection in both eyes,120,138
2,1,38,Corneal grafting—Penetrating keratoplasty,5000,5750
2,1,39,Corneal grafting—Lamellar keratoplasty,5000,5750
2,1,40,Cyanoacrylate /fibrin glue application for corneal perforation,600,690
2,1,41,Bandage contact lenses for corneal perforation,400,460
2,1,42,Scleral grafting or conjunctival flap for corneal perforation,500,575
2,1,43,Keratoconus correction with therapeutic contact lenses,1200,1380
2,1,44,Ultraviolet (UV) radiation for cross-linking for keratoconus,1800,2070
2,1,45,EDTA for band shaped keratopathy,750,863
3,1,46,Arcuate keratotomy for astigmatism,2500,2875
3,1,47,Re-suturing (Primary suturing) of corneal wound,1000,1150
3,1,48,Penetrating keratoplasty with glaucoma surgery,10000,11500
3,1,49,Penetrating keratoplasty with vitrectomy,10560,12144
3,1,50,Penetrating keratoplasty with IOL implantation,13656,15703
