city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,2,Penetrating keratoplasty with IOL implantation,15704,13656,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,8,Cyst & tumour of Maxilla / mandible by,467,406,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,30,TT Operations for Incontinence of Urine - Female-,22350,19435,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,31,Operation for Torsion of Testis,13225,11500,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,31,Operations for Varicocele Bilateral --Microsurgical},14548,12650,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,31,Operations for Varicocele Bilateral Lap/ Palomo,17193,14950,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,31,Excision of Filarial Scrotum,13225,11500,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,31,ABO incompatible Transplantation,507150,441000,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,31,Donor Nephrectomy (open),33063,28750,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,36,Transrectal Ultrasound (TRUS) guided prostate,633,550,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,38,Implantation of Deep Brain Stimulation (DBS) -two,46288,40250,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,38,Burr hole evacuation of chronic subdural,24995,21735,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Image guided craniotomy,33327,28980,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Baclofen pump implantation,44850,39000,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Programmable Ventriculo-Peritoneal (VP) shunt,25875,22500,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Endoscopic sympathectomy,17705,15396,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,External ventricular drainage (EVD),5290,4600,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Endoscopic 3rd ventriculostomy,41400,36000,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Endoscopic cranial surgery/Biopsy/aspiration,32639,28382,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,"Endoscopic discectomy (Lumbar, Cervical)",40964,35621,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Aneurysm coiling (Endovascular),39560,34400,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Surgery for skull fractures,46000,40000,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Carpel Tunnel decompression,17250,15000,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Clipping of intracranial aneurysm,27773,24150,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Surgery for intracranial Arteriovenous,41400,36000,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Surgery for recurrent disc prolapse/epidural fibrosis,33327,28980,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Surgery for brain stem tumours,45527,39589,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Steriotactic aspiration of intracerebral haematoma,33685,29291,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,39,Endoscopic aspiration of intracerebellar haematoma,41400,36000,,,,ocr,False,usable_ocr
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,40,Steriotactic Radiosurgery for brain pathology(X,31694,27560,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,8,Ossicular Replacement Prosthesis) or PORP (Partial,2777,2415,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,17,Stress Myocardial Perfusion Imaging (MPI) -,2875,2500,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,24,834 ‘Continuous Ambulatory Peritoneal Dialysis (CAPD),3623,3150,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,50,1726 {Anti muscle specific receptor tyrosine kinase (Anti MuSK),2691,2340,,,,ocr,False,usable_ocr
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,50,"1734 {Protein C, Protein S, Antithrombin—III (Select CGHS rate",2698,2346,,,,ocr,False,usable_ocr
