extraction_method,city_folder,source_pdf,source_page,extracted_table_index,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Consultation OPD,350.00,350.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Consultation- for Inpatients,350.00,350.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Dressings of wounds,300.00,255.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Suturing of wounds with local anesthesia,124.00,108.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Aspiration Plural Effusion - Diagnostic,700.00,595.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Aspiration Plural Effusion - Therapeutic,700.00,595.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Abdominal Aspiration - Diagnostic,700.00,595.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Abdominal Aspiration - Therapeutic,750.00,640.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Pericardial Aspiration,437.00,380.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Joints Aspiration,365.00,317.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Biopsy Skin,265.00,230.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Removal of Stitches,200.00,170.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Venesection,700.00,595.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Phimosis correction/Paraphimosis reduction/Circumcision Under LA,"6,000.00","5,100.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Sternal puncture,199.00,173.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,1,,Injection/Sclerotherapy/Banding of Haemorrhoids,700.00,595.00,,,,0.95,False
