city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status,review_reason,raw_text_line,extraction_confidence
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,TREATMENT PROCEDURE SKIN,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,1,TREATMENT PROCEDURE OPTHALMOLOGY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,2,90 D lens examination,58,50,,,,pdfplumber,False,needs_manual_review,messy_procedure,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,Glaucoma surgery with Glaucoma valves,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,TREATMENT PROCEDURE DENTAL PROCEDURES,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,6,TREATMENT PROCEDURE ENT,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,7,TREATMENT PROCEDURE FOR HEAD AND NECK,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,8,Head and neck cancer,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,8,TREATMENT PROCEDURE BREAST,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,8,TREATMENT PROCEDURE GENERAL SURGERY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,9,Biopsies,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,9,TREATMENT PROCEDURE OESOPHAGUS,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,9,TREATMENT PROCEDURE ABDOMEN / GI SURGERY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,11,Prolapse Rectum - Grahams Operation,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,11,Other Major Surgery,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,11,Other Minor Surgery,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,11,TREATMENT PROCEDURE ICU/CCU PROCEDURES (SPECIAL CARE CASES),,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,12,TREATMENT PROCEDURE CARDIOVASCULAR AND CARDIAC SURGERY & INVESTIGATIONS,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,13,External Loop/event recording( Maximum up to 7 days),,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,13,Endomyocardial biopsy,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,13,ASD/VSD/PDA device closure,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,14,TREATMENT PROCEDURE OBSTETRICS AND GYNAECOLOGY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,16,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,16,TREATMENT PROCEDURE NEPHROLOGY AND UROLOGY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,17,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,19,CGHS TREATMENT PROCEDURE / INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,20,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,21,TREATMENT PROCEDURE NEURO-SURGERY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,21,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,23,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,24,TREATMENT PROCEDURE PAEDIATRIC SURGERY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,24,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,25,TREATMENT PROCEDURE BURNS AND PLASTIC SURGERY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,25,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
