source_pdf,city_folder,status,rows_extracted,error_message,needs_manual_review
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/ Kanpur and Gwalior/17062025160208_CGHS-Rate-2024--Kanpur.pdf, Kanpur and Gwalior,success,1930,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Ahmedabad/17062025123259_CGHS Rates 2024 Ahmedabad.pdf,Ahmedabad,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Allahabad and Prayagraj and Varanasi/17062025125611_CGHS Rates 2014 Allahabad.pdf,Allahabad and Prayagraj and Varanasi,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Allahabad and Prayagraj and Varanasi/17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,Allahabad and Prayagraj and Varanasi,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bengaluru/17062025131439_CGHS Rates 2024 Banglore.pdf,Bengaluru,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bengaluru/19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,Bengaluru,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bhopal/17062025132836_CGHS Rates 2024- Bhopal.pdf,Bhopal,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bhopal/19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,Bhopal,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bhubaneswar/17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,Bhubaneswar,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bhubaneswar/20062025102026_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,Bhubaneswar,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Chandigarh/17062025141732_CGHS Rates 2024 Chandigarh_.pdf,Chandigarh,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Chennai/17062025144439_CGHS Rates 2024 Chennai_.pdf,Chennai,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Chennai/20062025110146_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,Chennai,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Dehradun/17062025150705_CGHS Rates 2024 Dehradun.pdf,Dehradun,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Dehradun/20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,Dehradun,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Dehradun/20062025110948_Notification of CGHS Rates for 15 Investigations under CGHS (14 January 2020) (3).pdf,Dehradun,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Dehradun/20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,Dehradun,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Delhi and NCR/20062025112320_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (3).pdf,Delhi and NCR,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Delhi and NCR/29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,Delhi and NCR,success,2115,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Hyderabad/17062025153951_CGHS Rate 2024- Hyderabad.pdf,Hyderabad,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Hyderabad/23062025125127_Revision-of-CGHS-rates-for--Cardiology-procedures-PET-CT-scan-and--inclusion-of-2-new-procedures-regd-(-19-and-21-December-2023) (3).pdf,Hyderabad,success,45,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Indore/20062025113907_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)--.pdf,Indore,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Indore/20062025114136_Notification-of-CGHS-Rates-for-15-Investigations-under-CGHS-(14-January-2020).pdf,Indore,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Indore/20062025114552_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020).pdf,Indore,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Indore/20062025114820_Revision-of-CGHS-rates-for--Cardiology-procedures -PET-CT-scan-and--inclusion-of-2-new-procedures-regd-(-19-and-21-December-2023).pdf,Indore,success,45,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Jabalpur/17062025155010_CGHS Rates 2024 Jabalpur.pdf,Jabalpur,success,1981,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Jabalpur/20062025120017_Revision-of-CGHS-rates-for--Cardiology-procedures--PET-CT-scan-and--inclusion-of-2-new-procedures-regd-(-19-and-21-December-2023).pdf,Jabalpur,success,45,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Jaipur/17062025155356_CGHS-Rates-2024---Jaipur.pdf,Jaipur,success,1941,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Jaipur/20062025121504_Revision-of-CGHS-rates-for--Cardiology-procedures-PET-CT-scan-and--inclusion-of-2-new-procedures-regd-(-19-and-21-December-2023) (2).pdf,Jaipur,success,45,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Kolkata/18062025095503_CGHS-Rate-2024--Kolkata.pdf,Kolkata,success,1954,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Lucknow/17062025162845_CGHS-Rate-2024--Lucknow.pdf,Lucknow,success,1940,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Meerut/20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,Meerut,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Meerut/20062025125815_Notification-of-CGHS-Rates-for-15-Investigations-under-CGHS-(14-January-2020) (7).pdf,Meerut,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Meerut/20062025130020_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (6).pdf,Meerut,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Meerut/20062025130230_Revision-of-CGHS-rates-for--Cardiology-procedures -PET-CT-scan-and--inclusion-of-2-new-procedures-regd-(-19-and-21-December-2023) (2).pdf,Meerut,success,45,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Mumbai/17062025163649_CGHS Rates 2024 Mumbai.pdf,Mumbai,success,1947,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Mumbai/20062025140719_Revision-of-CGHS-rates-for--Cardiology-procedures-PET-CT-scan-and--inclusion-of-2-new-procedures-regd-(-19-and-21-December-2023) (4).pdf,Mumbai,success,45,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Nagpur/17062025164420_CGHS-Rates--Nagpur-.pdf,Nagpur,success,1924,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Nagpur/20062025140957_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (10).pdf,Nagpur,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Nagpur/20062025141233_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (5).pdf,Nagpur,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Nagpur/20062025141341_Notification-of-CGHS-Rates-for-15-Investigations-under-CGHS-(14-January-2020) (9).pdf,Nagpur,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Patna/17062025164851_CGHS-Rate-2024--Patna.pdf,Patna,success,1921,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Pune/17062025165405_CGHS-Rate-2024--Pune.pdf,Pune,success,1929,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Ranchi/20062025144227_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (13).pdf,Ranchi,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Ranchi/20062025144509_Notification-of-CGHS-Rates-for-15-Investigations-under-CGHS-(14-January-2020) (13).pdf,Ranchi,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Ranchi/20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,Ranchi,scanned_or_no_tables_detected,0,Image-only/scanned PDF with no extractable text or tables,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Ranchi/20062025144911_Revision-of-CGHS-rates-for--Cardiology-procedures -PET-CT-scan-and--inclusion-of-2-new-procedures-regd-(-19-and-21-December-2023) (4).pdf,Ranchi,success,45,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Shillong/17062025170055_CGHS-Rate-2024--Shillong.pdf,Shillong,success,1922,,False
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Trivandrum/17062025170805_CGHS-Rate-2024--Thiruvananthapuram.pdf,Trivandrum,success,1947,,False
