source_pdf,city_folder,total_pages,ocr_pages_processed,rows_extracted,status,error_message,needs_manual_review
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Ahmedabad/17062025123259_CGHS Rates 2024 Ahmedabad.pdf,Ahmedabad,75,75,634,partial_success,544/634 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Allahabad and Prayagraj and Varanasi/17062025125611_CGHS Rates 2014 Allahabad.pdf,Allahabad and Prayagraj and Varanasi,55,55,248,partial_success,227/248 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Allahabad and Prayagraj and Varanasi/17062025130757_Revision of CGHS rates for Cardiology procedures PET CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,Allahabad and Prayagraj and Varanasi,9,9,107,partial_success,90/107 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bengaluru/17062025131439_CGHS Rates 2024 Banglore.pdf,Bengaluru,124,79,559,partial_success,477/559 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bengaluru/19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,Bengaluru,9,9,106,partial_success,89/106 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bhopal/17062025132836_CGHS Rates 2024- Bhopal.pdf,Bhopal,38,38,176,partial_success,166/176 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bhopal/19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,Bhopal,9,9,107,partial_success,90/107 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bhubaneswar/17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,Bhubaneswar,47,47,1533,partial_success,1495/1533 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Bhubaneswar/20062025102026_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,Bhubaneswar,9,9,107,partial_success,90/107 rows flagged for manual review,True
/Users/naazparveen/Desktop/Swaasth/backend/data/CGHS costs/Chandigarh/17062025141732_CGHS Rates 2024 Chandigarh_.pdf,Chandigarh,50,50,254,partial_success,225/254 rows flagged for manual review,True
