city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[4 | Suturing of wounds with local anesthesia [108 [124 |,4 | Suturing of wounds with local anesthesia [108 [124,,,,,,0.35,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[6 | Aspiration Plural Effusion Therapeutic | _sss_| 700,6 | Aspiration Plural Effusion Therapeutic | _sss_,,,700,,,0.5,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[7 [Abdominal Aspiration Diagnostic [888 | 700 |,7 [Abdominal Aspiration Diagnostic [888 | 700,,,,,,0.35,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[8 | _Abdominal Aspiration Therapeutic | 640 | 750,8 | _Abdominal Aspiration Therapeutic | 640,,,750,,,0.5,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[9 | _____ Pericardial Aspiration | _380_| 437 _|,9 | _____ Pericardial Aspiration | _380_| 437 _,,,,,,0.35,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[to [Joints Aspiration [317 | 308 _|,to [Joints Aspiration [317 | 308 _,,,,,,0.35,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[i [Biopsy Skin =i 230 | 26s,i [Biopsy Skin =i 230 | 26s,,,,,,0.35,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[12 [____Ramoval of Stitches | 170 | 200 _,12 [____Ramoval of Stitches | 170 | 200 _,,,,,,0.35,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[14_[_____Phimosis UnderLA | 8100 | 6000,14_[_____Phimosis UnderLA | 8100,,,6000,,,0.5,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[1s [| _____Stemalpunetwre | _173_| 199,1s [| _____Stemalpunetwre | _173_,,,199,,,0.5,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[16 [Injection or Haemorrhoids | _s9s_| 700,16 [Injection or Haemorrhoids | _s9s_,,,700,,,0.5,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[17_[-_—njetion for Varicose Veins | _s9s_| 700,17_[-_—njetion for Varicose Veins | _s9s_,,,700,,,0.5,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[is [Catheterization ———~+Y 98 | 700,is [Catheterization ———~+Y 98,,,700,,,0.5,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[19 [Dilatation oF Urethra | 1958 | 2300,19 [Dilatation oF Urethra | 1958,,,2300,,,0.5,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[21_[____Intereostal Drainage _———~+f as [aa,21_[____Intereostal Drainage _———~+f as [aa,,,,,,0.35,True
Ahmedabad,17062025123259_CGHS Rates 2024 Ahmedabad.pdf,1,[25 | __Exeision of Molluseum confagiosum | 130 | 150,25 | __Exeision of Molluseum confagiosum | 130,,,150,,,0.5,True
