city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,1,CGHS package rate Prayagraj & Varanasi 2014 updated on 03 May 2021,CGHS package rate Prayagraj & Varanasi 2014 updated on 03 May,,,2021,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,1,[3 [Dressingsofwounds 50.00] 58.00,3 [Dressingsofwounds 50.00,,,58.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,1,[6 [Aspiration Plural Effusion- Therapeutic | 193.00] 222.00},6 [Aspiration Plural Effusion- Therapeutic | 193.00] 222.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,1,[8 [Abdominal Aspiration- Therapeutic | 460.00f 529.00,8 [Abdominal Aspiration- Therapeutic | 460.00f,,,529.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,1,[9 [Pericardial Aspiration 380.00] 487.00},9 [Pericardial Aspiration 380.00] 487.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,1,[19 [Dilatationof Urethra 50000] 5:75.00},19 [Dilatationof Urethra 50000] 5:75.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,2,"[60 |Caliculoplasty CT 2,800.00] 2,648.00}","60 |Caliculoplasty CT 2,800.00] 2,648.00}",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,2,[64 [Indirect Ophthalmoscopy | 67.00] 77.00},64 [Indirect Ophthalmoscopy | 67.00] 77.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,2,[67___[Orthopticexercises 50.00] 5:8.00},67___[Orthopticexercises 50.00] 5:8.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,2,[68 ___|Pleopticexercises_ T8000] 58.00},68 ___|Pleopticexercises_ T8000] 58.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,2,[69 ___[Perimetry/fieldtest—Goldman | 144.00] 166.00},69 ___[Perimetry/fieldtest—Goldman | 144.00] 166.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,2,[80___ [Macular fiunctiontests_ P40] 52.00},80___ [Macular fiunctiontests_ P40] 52.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,3,[s7___[Non Contact tonometry(NCT) 50.00] 58.00],s7___[Non Contact tonometry(NCT) 50.00] 58.00,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,3,[89 [TOP measurement with applationtonometry | 80.00] 58.00},89 [TOP measurement with applationtonometry | 80.00] 58.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,3,[90___|Three mirror examination forretina | 58.00] 67.00],90___|Three mirror examination forretina | 58.00] 67.00,,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,3,[91 [90 Dlensexamination 50.00] 58.00},91 [90 Dlensexamination 50.00] 58.00},,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,3,"[96 __[Ptosis surgery with LPS resectiononelid [5,500.00] 6,825.00","96 __[Ptosis surgery with LPS resectiononelid [5,500.00",,,6825.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,3,"[98___[Ectropion surgery-onelid 1400.00] 1,610.00]","98___[Ectropion surgery-onelid 1400.00] 1,610.00",,,,,,0.35,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,3,"5,124.00 5,893.00","5,124.00",,,5893.00,,,0.5,True
Allahabad and Prayagraj and Varanasi,17062025125611_CGHS Rates 2014 Allahabad.pdf,4,"10,781.00] 12,398.00","10,781.00",,,12398.00,,,0.5,True
