city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,1,CGHS package rate Bengaluru 2014 updated as on 09.07.2024,CGHS package rate Bengaluru 2014 updated as on 09.07.2024,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,1,350 350,350,,,350,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,1,350 350,350,,,350,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,1,|9___ [Pericardial Aspiration,9___ [Pericardial Aspiration,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,1,[10__[Joints Aspiration,10__[Joints Aspiration,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,2,[29 [Chemical Cautery(s) | Tt,29 [Chemical Cautery(s) | Tt,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,2,[30__|Subconjunctival/subtenon’s injections inoneeye [66 | 76,30__|Subconjunctival/subtenon’s injections inoneeye [66,,,76,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,2,138 159,138,,,159,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,2,. 2300 2645,.,2645,2300,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,2,[55__[Probing and Syringing of lacrimal sac-inoneeye [69 | 79,55__[Probing and Syringing of lacrimal sac-inoneeye [69,,,79,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[60_|Caliculoplasty T2070 sn,60_|Caliculoplasty T2070 sn,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[64 [Indirect Ophthalmoscopy | Tw,64 [Indirect Ophthalmoscopy | Tw,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,|66__|Lees’ charting orHess’ charting [| t00 | tas,66__|Lees’ charting orHess’ charting [| t00 | tas,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[68__|Pleopticexercises |,68__|Pleopticexercises,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[s0__[Macularfunctiontests | aT,s0__[Macularfunctiontests | aT,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[s6__ [UBM Ultrasound biomicroscopy | 0 | 73,s6__ [UBM Ultrasound biomicroscopy | 0,,,73,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[89 [JOP measurement with applation tonometry [|_ 50 | 58,89 [JOP measurement with applation tonometry [|_ 50,,,58,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[90__[Three mirror examination forretina | 52 |,90__[Three mirror examination forretina | 52,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[92__|Gonioscopy TT,92__|Gonioscopy TT,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,3,[96__[Ptosis surgery with LPS resectiononelid __—[__— 55006325,96__[Ptosis surgery with LPS resectiononelid __—[__—,,,55006325,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,4,[98__[Ectropion surgery-onelid T1400 t610,98__[Ectropion surgery-onelid T1400 t610,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,4,[99__[Ectropion surgery-bothlids | 2500 | 2875,99__[Ectropion surgery-bothlids | 2500,,,2875,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,4,[104 [Tarsorraphy sos,104 [Tarsorraphy sos,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,4,[106 [Lid retraction repair T1700 T1955,106 [Lid retraction repair T1700 T1955,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,4,[itt [Emucleation T3000 450,itt [Emucleation T3000,,,450,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,4,x 3000 3450,x,3450,3000,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,4,Sr. |CGHS TREATMENT Non- NABH/Non4jNABH/,Sr. |CGHS TREATMENT Non- NABH/Non4jNABH/,,,,nabh,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,5,[143 [EOG-electro-oculogram | 850 T1000,143 [EOG-electro-oculogram | 850 T1000,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,5,3000 3450,3000,,,3450,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,5,[162 [Iriscystremoval Ts,162 [Iriscystremoval Ts,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,6,[179_|Splints(Circummandibular wiring under GA 930] 1139 _|,179_|Splints(Circummandibular wiring under GA 930] 1139 _,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,6,[184 [Extraction pertoothunderLA | 80 |,184 [Extraction pertoothunderLA | 80,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,6,188 |Cyst & tumour of Maxilla /mandible by t= le excision/ marsupialisation upto 4 cms under LA. ‘Cyst & tumour of Maxilla / mandible by,Cyst & tumour of Maxilla /mandible by t= le excision/ marsupialisation upto 4 cms under LA. ‘Cyst & tumour of Maxilla / mandible by,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,6,enucleation / excision / marsupialisation size more 467 than 4 cms,enucleation / excision / marsupialisation size more 467 than 4 cms,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,6,[196_|Segmental-mandibulectomy with gat | 3400 | 3910 _|,196_|Segmental-mandibulectomy with gat | 3400 | 3910 _,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,[197 _]Segmental-mandibulectomy without graft [9901139,197 _]Segmental-mandibulectomy without graft [9901139,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,202 Release of fibrous bands & grafting -in (OSMF),202 Release of fibrous bands & grafting -in (OSMF),,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,treatment 1500 1725,treatment,1725,1500,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,[207 [Apicoectomy- Singleroot | 00 | 575,207 [Apicoectomy- Singleroot | 00,,,575,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,[208 _[Apicoectomy-Multiple roots | 07a,208 _[Apicoectomy-Multiple roots | 07a,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,[210 [Metal Crown with Acrylic facing per unit [700 | 805,210 [Metal Crown with Acrylic facing per unit [700,,,805,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,[212 [Complete denture-acrylic based perarch | 9501093,212 [Complete denture-acrylic based perarch,,,9501093,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,264 304,264,,,304,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,3 teeth / Per tooth,3 teeth / Per tooth,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,7,[224 [Habit breaking appliances-removable | 765 | 900,224 [Habit breaking appliances-removable | 765,,,900,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,8,(sal/auricular/orbital/facial lost 3150 3623 part) |___|TREATMENTPROCEDUREENT [TT a,(sal/auricular/orbital/facial lost 3150 3623 part) |___|TREATMENTPROCEDUREENT [TT a,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,8,132 152 ‘Decay,132 152 ‘Decay,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,8,[236 _|Speech Discrimination Score __————-[| 90 | 103 _|,236 _|Speech Discrimination Score __————-[| 90 | 103 _,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,8,[244 [PolypremovalunderGA T8509,244 [PolypremovalunderGA T8509,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,9,. . 9600 11040,. .,11040,9600,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,10,302 Excision of Pinna for Growth (Squamous/Basal/ t= Skin and Cartilage [Meatus ‘Vermilionectomy surgey of lips) lips) Operation (Commando Operation),302 Excision of Pinna for Growth (Squamous/Basal/ t= Skin and Cartilage [Meatus ‘Vermilionectomy surgey of lips) lips) Operation (Commando Operation),,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,11,Sr. (CGHS TREATMENT Non- NABH/Non4jNABH/,Sr. (CGHS TREATMENT Non- NABH/Non4jNABH/,,,,nabh,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,11,1649 1940,1649,,,1940,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Debridement of wounds 1275 1500,Debridement of wounds,1500,1275,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Excision Biopsy of Ulcers 1470,Excision Biopsy of Ulcers,,,1470,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Excision Biopsy of Superficial Lumps 2898 3333,Excision Biopsy of Superficial Lumps,3333,2898,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,pst [Fret Needle Biopsy 2975 3500,pst [Fret Needle Biopsy,3500,2975,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Percutaneous Kidney Biops; 1470,Percutaneous Kidney Biops;,,,1470,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,[384 [Muscle Biopsy (See CGHS rate code 1724),384 [Muscle Biopsy (See CGHS rate code 1724),,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Scalene Node Biops’ 1350 1553,Scalene Node Biops’,1553,1350,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Excision of Sebaceous Cysts 1242,Excision of Sebaceous Cysts,,,1242,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Haemorrhoidectomy 25500 30000,Haemorrhoidectomy,30000,25500,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,Stappler haemorrhoidectomy 37145 43700,Stappler haemorrhoidectomy,43700,37145,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,. 19550 23000 with suturing or ligation | _|TREATMENT PROCEDURE OESOPHAGUS [| si,. 19550 23000 with suturing or ligation | _|TREATMENT PROCEDURE OESOPHAGUS [| si,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,394 Atresia of Oesophagus and Tracheo Oesophageal oea7e pnTiKy Fistula,394 Atresia of Oesophagus and Tracheo Oesophageal oea7e pnTiKy Fistula,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,12,395 [Operations for Replacement of Oesophagus by 95000 98750 Colon (Oesophagectomy for Carcinoma Easophagus (Oesophageal Intubation (Mausseau Barbin Tube),395 [Operations for Replacement of Oesophagus by 95000 98750 Colon (Oesophagectomy for Carcinoma Easophagus (Oesophageal Intubation (Mausseau Barbin Tube),,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Achalasia Cardia Transthoracic 13455 15474,Achalasia Cardia Transthoracic,15474,13455,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,[399 _|Achalasia Cardia Abdominal,399 _|Achalasia Cardia Abdominal,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,[400 _|Oesophago Gastrectomy for mid 1/3 lesion,400 _|Oesophago Gastrectomy for mid 1/3 lesion,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,[401 _ [Heller's Operation 22713,401 _ [Heller's Operation,,,22713,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,26 32500,26,,,32500,,,0.5,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,5000 5750 TREATMENT PROCEDURE ABDOMEN / GI SURGERY,5000 5750 TREATMENT PROCEDURE ABDOMEN / GI SURGERY,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Gastric & Duodenal Biopsy (Endoscopic) 1944 2236,Gastric & Duodenal Biopsy (Endoscopic),2236,1944,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Pyloromyotomy 2800 3220 Simple Closure of Perforated peptic Uleer,Pyloromyotomy 2800 3220 Simple Closure of Perforated peptic Uleer,,,,,,0.35,True
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Vagotomy Pyleroplasty / Gastro Jejunostom 13800 15870,Vagotomy Pyleroplasty / Gastro Jejunostom,15870,13800,,,,0.72,False
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Duodenojejunostomy 17055 Partial/Subtotal Gastrectomy for Carcinoma Partial/Subtotal Gastrectomy for Ulcer,Duodenojejunostomy 17055 Partial/Subtotal Gastrectomy for Carcinoma Partial/Subtotal Gastrectomy for Ulcer,,,,,,0.35,True
