city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,WISet BVI1/ FTS No: 8090581 File No: S-11011/49/2020/CGHS(HEC)_-S1.f.Ta.Ua. (Ta.5.a),WISet BVI1/ FTS No: 8090581 File No: S-11011/49/2020/CGHS(HEC)_-S1.f.Ta.Ua. (Ta.5.a),,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,Yarea 3k uRa wea Hares oN Ministry of Health & Family Welfare,Yarea 3k uRa wea Hares oN Ministry of Health & Family Welfare,,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,ART aR 101 Psiteacar wat Room a 101 CGHS Bhawan,ART aR 101 Psiteacar wat Room a 101 CGHS Bhawan,,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,AER #-110066 Serie Ow Orat New Delhi-110066,AER #-110066 Serie Ow Orat New Delhi-110066,,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,a A Dated 21st December 2023,a A Dated 21st December,,,2023,,,0.5,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,feria 21 feerax 2023,feria 21 feerax,,,2023,,,0.5,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,"Reference: F.No. Z15025/32/2023/DIR/CGHS, Govt. of India, Min. of Health & Family","Reference: F.No. Z15025/32/2023/DIR/CGHS, Govt. of India, Min. of Health & Family",,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,"Welfare, Directorate of CGHS, OM dated 19t* December 2023 on Revision of","Welfare, Directorate of CGHS, OM dated 19t* December 2023 on Revision of",,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,"CGHS rates for Cardiology Procedures, inclusion of 2 new procedures and","CGHS rates for Cardiology Procedures, inclusion of 2 new procedures and",,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,Number URGERY & INVESTIGATIONS Rates in Rupee [tes 7 Rupee,Number URGERY & INVESTIGATIONS Rates in Rupee [tes 7 Rupee,,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,"1 (saa Balloon coronary angioplasty / [78,200 [92,000","1 (saa Balloon coronary angioplasty / [78,200 [92,000",,,,,,0.35,True
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,"545, Balloon coronary angioplasty / 171,150 83,725","545, Balloon coronary angioplasty /",83725,171150,,,,0.72,False
Bhopal,19062025174449_Revision of CGHS rates for Cardiology procedures PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023) (2).pdf,1,"547 Balloon Mitral Valvotomy / \77,000 {90,700","547 Balloon Mitral Valvotomy / \77,000 {90,700",,,,,,0.35,True
