city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,CGHS Bhubaneswar updated package rate list as on 2024,CGHS Bhubaneswar updated package rate list as on,,,2024,,,0.5,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,j2___ [Consultation PD 85088,j2___ [Consultation PD,,,85088,,,0.5,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[2_____[Consuttation- for Inpatients OT 880],2_____[Consuttation- for Inpatients OT 880,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[3___[Dressingsofwounds SO,3___[Dressingsofwounds SO,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[4___ [Suturing of wounds with local anesthesia | 108] 128,4___ [Suturing of wounds with local anesthesia | 108,,,128,,,0.5,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[5____ [Aspiration Plural Effusion Diagnostic fC t20f 188,5____ [Aspiration Plural Effusion Diagnostic fC t20f,,,188,,,0.5,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[6____ [Aspiration Plural Effusion-Therapeutic | 93] 22,6____ [Aspiration Plural Effusion-Therapeutic | 93,,,22,,,0.5,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[7___ [Abdominal Aspiration- Diagnostic SAB 8,7___ [Abdominal Aspiration- Diagnostic SAB,,,8,,,0.5,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[8____ [Abdominal Aspiration- Therapeutic | GOT 58],8____ [Abdominal Aspiration- Therapeutic | GOT 58,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[9 [Pericardial Aspiration TBO,9 [Pericardial Aspiration TBO,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[10 [Joints Aspiration 888],10 [Joints Aspiration 888,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[11 [Biopsy Skin tof 2],11 [Biopsy Skin tof 2,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[12 ___ [Removal of stitches Sf,12 ___ [Removal of stitches Sf,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[13 [Venesection ttf 128],13 [Venesection ttf 128,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[14 [PhimosisUnderLA tof 1387,14 [PhimosisUnderLA tof,,,1387,,,0.5,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[16 [Injection forHaemorthoids at,16 [Injection forHaemorthoids at,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[17 injection for Varicose Veins | 345 3,17 injection for Varicose Veins,3,345,,,,0.72,False
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,fas [Catheterisation a0,fas [Catheterisation a0,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[19 [Dilatation of Urethra Sf,19 [Dilatation of Urethra Sf,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[20___ [Incision & Drainage az,20___ [Incision & Drainage az,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[21 [intercostal Drainage 1,21 [intercostal Drainage,,,1,,,0.5,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,[22 [Peritoneal Dialysis tt 1817],22 [Peritoneal Dialysis tt 1817,,,,,,0.35,True
Bhubaneswar,17062025133614_CGHS Rates 2024 Bhubaneswar_.pdf,1,23 [ExcisionofMoles 8a 8],23 [ExcisionofMoles 8a 8,,,,,,0.35,True
