city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,CGHS CHANDIGARH rate list 2014 (Consolidated in August 2021-23),CGHS CHANDIGARH rate list 2014 (Consolidated in August 2021-23),,,,,,0.35,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,[1 |ConsultationOPD 80850,1 |ConsultationOPD,,,80850,,,0.5,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,[6____[Aspiration Plural Effusion-Therapeutic [595700,6____[Aspiration Plural Effusion-Therapeutic [595700,,,,,,0.35,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,2 ee eee,2 ee eee,,,,,,0.35,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,fo epee sr 6,fo epee sr,,,6,,,0.5,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,a 2,a,,,2,,,0.5,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,[16 [Injection / Sclerotherapy /Banding of Haemorthoids [595700,16 [Injection / Sclerotherapy /Banding of Haemorthoids [595700,,,,,,0.35,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,[1s [Urinary bladder Catheterisation SS 700,1s [Urinary bladder Catheterisation SS,,,700,,,0.5,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,1,[19 [Dilatation of Urethral Stricture SS [2300,19 [Dilatation of Urethral Stricture SS [2300,,,,,,0.35,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,2,[5 __[Pobingand Sjringng oflacinel ae inoneeye fos?,5 __[Pobingand Sjringng oflacinel ae inoneeye fos?,,,,,,0.35,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,2,[cafe 300i as id,cafe 300i as id,,,,,,0.35,True
Chandigarh,17062025141732_CGHS Rates 2024 Chandigarh_.pdf,2,Jes Peopsceerciss 0 iid,Jes Peopsceerciss 0 iid,,,,,,0.35,True
