city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,|| CGHS CHENNAI RATE LIST 2014 - updated on 5th February2024 | sd,CGHS CHENNAI RATE LIST 2014 - updated on 5th February2024 | sd,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,"Consultation OPD 350, 1350 [Rate revised w.e.f. 12.04.2023","Consultation OPD 350, 1350 [Rate revised w.e.f. 12.04.2023",,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,|Consultation- for Inpatients 350 1350 [Rate revised w.e.f. 12.04.2023,Consultation- for Inpatients 350 1350 [Rate revised w.e.f. 12.04.2023,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,13 |Dressings of wounds 255 1300 |Rate revisedw.e.f. 01.02.2024 | & lapplicableinall CGHS cities [x [Satori of wounds wt Tocal anasheia fos,Dressings of wounds 255 1300 |Rate revisedw.e.f. 01.02.2024 | & lapplicableinall CGHS cities [x [Satori of wounds wt Tocal anasheia fos,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,5 |Aspiration Plural Effusion - Diagnostic 595 700 [Rate revised w.e-f. 01.02.2024 \& lapplicable in all CGHS cities,Aspiration Plural Effusion - Diagnostic 595 700 [Rate revised w.e-f. 01.02.2024 \& lapplicable in all CGHS cities,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,[Aspiration Plural Effusion - Therapeutic 595 700 [Rate revised w.e.f. 01.02.2024 |S lapplicable in all CGHS cities,Aspiration Plural Effusion - Therapeutic 595 700 [Rate revised w.e.f. 01.02.2024 |S lapplicable in all CGHS cities,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,"7 595, 700 [Rate revised w.e.f. 01.02.2024 |S lapplicable in all CGHS cities","7 595, 700 [Rate revised w.e.f. 01.02.2024 |S lapplicable in all CGHS cities",,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,1750 [Rate revised wef. 01.02.2024 |S lapplicable in all CGHS cities [> [Pericardial Aspiration a fo fonts Aspiration a A [ii [Biopsy skin a a,1750 [Rate revised wef. 01.02.2024 |S lapplicable in all CGHS cities [> [Pericardial Aspiration a fo fonts Aspiration a A [ii [Biopsy skin a a,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,12 170 1200 [Rate revised w.e.f. 01.02.2024 |S applicable in all CGHS cities,12 170 1200 [Rate revised w.e.f. 01.02.2024 |S applicable in all CGHS cities,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,13 | Venesection 595 700 [Rate revised w.e-f. 01.02.2024 \& lapplicable in all CGHS cities,Venesection 595 700 [Rate revised w.e-f. 01.02.2024 \& lapplicable in all CGHS cities,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,1,15100 16000 [Rate revised w.e.f. 01.02.2024 |S lapplicable in all CGHS cities [Fz |stemal puncture a a,15100 16000 [Rate revised w.e.f. 01.02.2024 |S lapplicable in all CGHS cities [Fz |stemal puncture a a,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,S95 700 [Rate revised w.e.f. 01.02.2024,S95 700 [Rate revised w.e.f. 01.02.2024,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,"17 [Injection for Varicose Veins 595, 700 [Rate revised w.e.f. 01.02.2024","17 [Injection for Varicose Veins 595, 700 [Rate revised w.e.f. 01.02.2024",,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,595 700 [Rate revised w.e-f. 01.02.2024,595 700 [Rate revised w.e-f. 01.02.2024,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,1955 12300 [Rate revised w.e.f. 01.02.2024,1955 12300 [Rate revised w.e.f. 01.02.2024,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,120 1955 12300 [Rate revised w.e.f. 01.02.2024,120 1955 12300 [Rate revised w.e.f. 01.02.2024,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[a2 —[Petoneal Days iis is,a2 —[Petoneal Days iis is,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[25 [Excision oF Motiscum contagiaum 30s,25 [Excision oF Motiscum contagiaum 30s,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[2s [Excision of VeneealWats ig ipe,2s [Excision of VeneealWats ig ipe,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[28 [DD ijeoton KeoniGataresona njeaion) i? iP,28 [DD ijeoton KeoniGataresona njeaion) i? iP,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,> [chemical Cute) fr00 Jug,> [chemical Cute) fr00 Jug,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[50 —[Subconjunctivalsubtenon'simjectons mone yes (6) SDP,50 —[Subconjunctivalsubtenon'simjectons mone yes (6) SDP,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[s1_[Subconjunctvalaubtenon's injectons moth eyes SEs,s1_[Subconjunctvalaubtenon's injectons moth eyes SEs,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[52 [Pengiom Surgery SSO ose,52 [Pengiom Surgery SSO ose,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,53 — [conjunctival Petomy—————z?3_ Jo?,53 — [conjunctival Petomy—————z?3_ Jo?,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[55 [Removal ofcomealorignbody romps,55 [Removal ofcomealorignbody romps,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[sé [Cauterzation oF ucersubconjmciaT jeaion mensaje 469),sé [Cauterzation oF ucersubconjmciaT jeaion mensaje 469),,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[57 _[Caulerzation oF uceroubconjuncival injestion i botheyes 138s) P$,57 _[Caulerzation oF uceroubconjuncival injestion i botheyes 138s) P$,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[is [Comeat erating —Penetatingetoplnty [5750 oon —],is [Comeat erating —Penetatingetoplnty [5750 oon —,,,,,,0.35,True
Chennai,17062025144439_CGHS Rates 2024 Chennai_.pdf,2,[9 [Comeat grafting —Camellrkeratoplaty [5000 |s1s0___ [|,9 [Comeat grafting —Camellrkeratoplaty [5000 |s1s0___,,,,,,0.35,True
