city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,S-11011/09/2019/Add!.DDG(HQ)/CGHS,S-11011/09/2019/Add!.DDG(HQ)/CGHS,,,,,,0.35,True
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,2014 CGHS rates.,2014 CGHS rates.,,,,,,0.35,True
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,"draw attention to the Office Memoranda No S-11011/09/2019/Addl, DDG(HQ)/CGHS dated","draw attention to the Office Memoranda No S-11011/09/2019/Addl, DDG(HQ)/CGHS dated",,,,,,0.35,True
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,14.01.2020 and 03.06.2020 vide which CGHS rates have been notified by the Government for 15 and 25 investigations and procedures respectively for treatment at CGHS empanelled Health Care Organizations (HCOs) and to state that it is now decided to notify CGHS package rates for another 21 investigations/ treatment procedures as per the details given,01.2020 and 03.06.2020 vide which CGHS rates have been notified by the Government for 15 and 25 investigations and procedures respectively for treatment at CGHS empanelled Health Care Organizations (HCOs) and to state that it is now decided to notify CGHS package rates for another 21 investigations/ treatment procedures as per the details given,,,,,,0.35,True
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,under and shall be treated as part of CGHS package Rates 2014 [Investigations/procedures/ CGHS rate for NABL/ NABH Accredited implants H,under and shall be treated as part of CGHS package Rates 2014 [Investigations/procedures/ CGHS rate for NABL/ NABH Accredited implants H,,,,nabh,,0.35,True
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,2 HR CT chest Rs 2000/-,2 HR CT chest Rs 2000/-,,,,,,0.35,True
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,3 Fluid air exchange Rs 5000 /-per eye|,3 Fluid air exchange Rs 5000 /-per eye,,,,,,0.35,True
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,4 C3F8 GAS Injection Rs 5000 /-per eye 5 6 7,4 C3F8 GAS Injection Rs 5000 /-per eye 5,7,6,,,,0.72,False
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,8 ERM Removal Rs 3000 /-per eye 3 [iM Membrane pasting .,8 ERM Removal Rs 3000 /-per eye 3 [iM Membrane pasting .,,,,,,0.35,True
Dehradun,20062025110826_CGHS Rates for 21 Treatment Procedures or Investigations in continuation of 2014 CGHS Rates (11 Feb 2021) (5).pdf,1,12 Laser Trabeculoplasty Rs 16000/- Both eyes Gonioplasty B/E,12 Laser Trabeculoplasty Rs 16000/- Both eyes Gonioplasty B/E,,,,,,0.35,True
