city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,S-11011/09/2019/ Addl. DDG(HQ)/CGHS,S-11011/09/2019/ Addl. DDG(HQ)/CGHS,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,attention to the Office Memorandum No S 11045/36/2012-CGHS(HEC) dated 01.10.2014,attention to the Office Memorandum No S 11045/36/2012-CGHS(HEC) dated 01.10.2014,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,and refer to the OM of even number dated 14.01.2020 vide which CGHS rates have been,and refer to the OM of even number dated 14.01.2020 vide which CGHS rates have been,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,notified for 15 investigations and procedures and to state that it is now decided to notify,notified for 15 investigations and procedures and to state that it is now decided to notify,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,CGHS package rates rates for another 25 investigations and their inclusion in CGHS rate list,CGHS package rates rates for another 25 investigations and their inclusion in CGHS rate list,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,J face .0007,J face .0007,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,[6.____[ENA (Quantitativey TSS 0,6.____[ENA (Quantitativey TSS,,,0,,,0.5,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,|8.__|Fecal Calprotectin TCO,8.__|Fecal Calprotectin TCO,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,[10. |[C4-COMPLEMENT SSO,10. |[C4-COMPLEMENT SSO,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,11 IGeneexperttest_ «S05,11 IGeneexperttest_ «S05,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,[13 PFT (spirometry with DLCO) | «CSO,13 PFT (spirometry with DLCO) | «CSO,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,1,[1s [cT Urography dC,1s [cT Urography dC,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,2,[19 [erythropoietinievel | 00,19 [erythropoietinievel,,,00,,,0.5,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,2,[20. fantiHeVigm «000,20. fantiHeVigm «000,,,,,,0.35,True
Dehradun,20062025111122_Notification of CGHS Rates for 25 Investigations under CGHS (3 June 2020) (3).pdf,2,[21 fantiHAVigM CO,21 fantiHAVigM CO,,,,,,0.35,True
