city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,CGHS package rate Hyderabad- 2014 updated as on 8th Feb 2024,CGHS package rate Hyderabad- 2014 updated as on 8th Feb,,,2024,,,0.5,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,[4 ___|Suturing of wounds with local anesthesia fog fiz,4 ___|Suturing of wounds with local anesthesia fog fiz,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,7 [Abdominal / Peritoneal Aspiration — Diagnostic 700,7 [Abdominal / Peritoneal Aspiration — Diagnostic,,,700,,,0.5,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,[Abdominal / Peritoneal Aspiration — Therapeutic 750,Abdominal / Peritoneal Aspiration — Therapeutic,,,750,,,0.5,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,[2 [Pericardial Aspiration Bs s@,2 [Pericardial Aspiration Bs s@,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,[10 Joints Aspiration an fags,10 Joints Aspiration an fags,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,[11 [Biopsy Skin p30 pos,11 [Biopsy Skin p30 pos,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,14 |Phimosis correction / Paraphimosis reduction / }6000 |Circumcision Under LA [1S [Steal puncture ft fgg,Phimosis correction / Paraphimosis reduction / }6000 |Circumcision Under LA [1S [Steal puncture ft fgg,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,linjection / Sclerotherapy / Banding of 700 [Haemorthoids [Pee vere eo |,linjection / Sclerotherapy / Banding of 700 [Haemorthoids [Pee vere eo,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,P| [Dilatation of Urethral Stricture es | [2300,P| [Dilatation of Urethral Stricture es | [2300,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,1,120 Incision & Drainage under local Anaesthesia 12300 \(Large) [21 [intercostal Drainage fos tag [22 [Peritoneal Dialysis izig S17 Po jon- NABH /Non- NABH / | TREATMENT PROCEDURE SKIN (ABL Rates in (ABL Rates {Remarks [Rupee lin Rupee [23 [Excision of Moles pas pom [24 [Excision of Warts anf [25 [Excision of Molluscum contagiosum a [Ea [26 [Excision of Venereal Warts iso fig J27__[ExcisionofComs ffs [28 [intradermal (ID) Injection Keloid (Intralesional _ [97 12 lInjection) [29 [Chemical Cautery(@) tno fi lon- NABH /Non- NABH / | panera [Rupee lin Rupee,120 Incision & Drainage under local Anaesthesia 12300 \(Large) [21 [intercostal Drainage fos tag [22 [Peritoneal Dialysis izig S17 Po jon- NABH /Non- NABH / | TREATMENT PROCEDURE SKIN (ABL Rates in (ABL Rates {Remarks [Rupee lin Rupee [23 [Excision of Moles pas pom [24 [Excision of Warts anf [25 [Excision of Molluscum contagiosum a [Ea [26 [Excision of Venereal Warts iso fig J27__[ExcisionofComs ffs [28 [intradermal (ID) Injection Keloid (Intralesional _ [97 12 lInjection) [29 [Chemical Cautery(@) tno fi lon- NABH /Non- NABH / | panera [Rupee lin Rupee,,,,nabh,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[52_[Pterygium Surgery 500 ozs P|,52_[Pterygium Surgery 500 ozs P,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[33_[Conjunetival Peritomy 58 fo? SP,33_[Conjunetival Peritomy 58 fo? SP,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[35__[Removal of comeal foreign body |S fg,35__[Removal of comeal foreign body |S fg,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,36 |Cauterization of ulcer/subconjunetival injection in 79 ea a a a a lboth eyes,Cauterization of ulcer/subconjunetival injection in 79 ea a a a a lboth eyes,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[38__[Comeal grafting “Penetrating keratoplasty [51755981 PT soo sus a ee lperforation ea a,38__[Comeal grafting “Penetrating keratoplasty [51755981 PT soo sus a ee lperforation ea a,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[42 _|Scleral grafting or conjunctival flap for corneal [2070 [2381 lperforation,42 _|Scleral grafting or conjunctival flap for corneal [2070 [2381 lperforation,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,"43, |Keratoconus correction with therapeutic contact |1080 1242 =","43, |Keratoconus correction with therapeutic contact |1080 1242 =",,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,44 |Ultraviolet (UV) radiation for cross-linking for 1800 |2070 ae las EDTA for band shaped keratopathy loos | +d [46 __Areuate keratotomy for astigmatism __—asoo SS fs20 PO cio a a a,Ultraviolet (UV) radiation for cross-linking for 1800 |2070 ae las EDTA for band shaped keratopathy loos | +d [46 __Areuate keratotomy for astigmatism __—asoo SS fs20 PO cio a a a,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[49 [Penetrating keratoplasty with vitrectomy ___fi0930_ fsa ae re,49 [Penetrating keratoplasty with vitrectomy ___fi0930_ fsa ae re,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[Si [DALK- Deep anterior lamellar keratoplasty [5525 fvesa,Si [DALK- Deep anterior lamellar keratoplasty [5525 fvesa,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[52__[Keratoprosthesis stage Landi [030 tgs 2 a lendothelial keratoplasty ee Ikeratoplasty aes a a Se [57 [DasryoqjsorhinosomyPlams seers SY,52__[Keratoprosthesis stage Landi [030 tgs 2 a lendothelial keratoplasty ee Ikeratoplasty aes a a Se [57 [DasryoqjsorhinosomyPlams seers SY,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,58 _|Dacryocystorhinostomy-Plain with intubation [8775 oe Sa ee |60__|Caliculoplasty fess PO |61__[Dacryocystectomy ss fig [62_[Punctal plugs fordryeyes 30. fis PO |63__ Refraction fafa,58 _|Dacryocystorhinostomy-Plain with intubation [8775 oe Sa ee |60__|Caliculoplasty fess PO |61__[Dacryocystectomy ss fig [62_[Punctal plugs fordryeyes 30. fis PO |63__ Refraction fafa,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,|64__findirest Ophthalmoscopy (Fundoscopy) 677 PT [65__JOrthoptic check-up- with synoptophore fag fas PO |66__ Lees’ charting or Hess’ charting fio fis PO [67__Jorthoptic exercises sos,64__findirest Ophthalmoscopy (Fundoscopy) 677 PT [65__JOrthoptic check-up- with synoptophore fag fas PO |66__ Lees’ charting or Hess’ charting fio fis PO [67__Jorthoptic exercises sos,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,2,[68__[Pleoptic exercises 058 PT [69__[Perimetry (Visual Field Testing) -Goldman [30 ftso Pd,68__[Pleoptic exercises 058 PT [69__[Perimetry (Visual Field Testing) -Goldman [30 ftso Pd,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[5 indoeyann green angiogaphy poo iog_ | |,5 indoeyann green angiogaphy poo iog_,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[77 —[comealopogaphy 8g,77 —[comealopogaphy 8g,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[sz [aver interferometry 86,sz [aver interferometry,,,86,,,0.5,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[a3 —JOCT-Optial coherence tomogiaphy isang],a3 —JOCT-Optial coherence tomogiaphy isang,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[a5 —[GDxNere fibre layer analysis [as or | —_],a5 —[GDxNere fibre layer analysis [as or | —_,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[a6 [UBM. Ulsasound bio micrseopy —is___ iss |],a6 [UBM. Ulsasound bio micrseopy —is___ iss,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[st [Non Gontat tonometry (NET) 0 5s | —__],st [Non Gontat tonometry (NET) 0 5s | —__,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[p10 tens examination os |],p10 tens examination os,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,3 — [chalacton incision and arctage ia one Ge [ood as],3 — [chalacton incision and arctage ia one Ge [ood as,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,os [chalacion incision and curetage in both eyes [31 |],os [chalacion incision and curetage in both eyes [31,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[25 tosis surgery with fasanelaservatprooedue 300s],25 tosis surgery with fasanelaservatprooedue 300s,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[bs tosis surgery wit LPS resection one lid [350025],bs tosis surgery wit LPS resection one lid [350025,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,lot — Ptois surgery with Sing surgery one id [eos 6903 |],lot — Ptois surgery with Sing surgery one id [eos 6903,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,ps [Etropion surgery one id 00 too],ps [Etropion surgery one id 00 too,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,9 [etropion surgery both ids p00 srs],9 [etropion surgery both ids p00 srs,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,fio2—[Enropion surgery one diss ise7 |],fio2—[Enropion surgery one diss ise7,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[103 —[Enropion surgery both ids —po00—ps00 |],103 —[Enropion surgery both ids —po00—ps00,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,"[tos [Lid retacton pai, r100 iss |]","tos [Lid retacton pai, r100 iss",,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[08 [Bucket handle procedure fr tumors aso |],08 [Bucket handle procedure fr tumors aso,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[10 Joritoomy rts a,10 Joritoomy rts a,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[tii —[Emueeaton 0010s,tii —[Emueeaton 0010s,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[3 [Evseertion es,3 [Evseertion es,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,|Evisceration with orbital implants and artificial $124 5893,Evisceration with orbital implants and artificial $124,,,5893,,,0.5,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[ii3—[elecenhus onecion ass,ii3—[elecenhus onecion ass,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,fr16Jorital decompression [17s 5081 |],fr16Jorital decompression [17s 5081,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,fii? entation [80a],fii? entation [80a,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[nis [exenteration wthakin gaiing —|exi0fx| —],nis [exenteration wthakin gaiing —|exi0fx| —,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[ria—Fractreortitl repair [b000 tox],ria—Fractreortitl repair [b000 tox,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[20 [Retinal laser proeedures isso iss8 |],20 [Retinal laser proeedures isso iss8,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,3,[ii Retinal detachment surgery @DS)_—_103s0_ uses] —_______],ii Retinal detachment surgery @DS)_—_103s0_ uses] —_______,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[123 [Buckle removal igs PC,123 [Buckle removal igs PC,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[iza [silicone oil removal —2sg0._pess |,iza [silicone oil removal —2sg0._pess,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[i2s_[Anteior retinal eyopery furs _fisss_——|@,i2s_[Anteior retinal eyopery furs _fisss_——|@,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[r26 [squint conection fr one ge aso0____[s7s_ |,r26 [squint conection fr one ge aso0____[s7s_,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[r27—[Squin conection forboth eyes [ors es |,r27—[Squin conection forboth eyes [ors es,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[130 [Trabeculestomy with Tabeslotomy pais],130 [Trabeculestomy with Tabeslotomy pais,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[isi [trephingion 070i PS,isi [trephingion 070i PS,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,fis2[Gonitomy as 9,fis2[Gonitomy as,,,9,,,0.5,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[133 _[Glancoms sageny wih Glaucoma valves _[oa100ahe _4itvalve [|,133 _[Glancoms sageny wih Glaucoma valves _[oa100ahe _4itvalve,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,list [Cyeloerotierpy S90 |,list [Cyeloerotierpy S90,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,fi36_ VAG laser capsuliomy ions asr [$Y,fi36_ VAG laser capsuliomy ions asr [$Y,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,fi37—[ALT-Argon laser tabeculoglaty ———isdg_isas— |,fi37—[ALT-Argon laser tabeculoglaty ———isdg_isas—,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,fie [PDI-Photodymicthempy 105s),fie [PDI-Photodymicthempy 105s),,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,fie [TTF Transpupllay thermal therapy [2700s [+d,fie [TTF Transpupllay thermal therapy [2700s [+d,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,liso [PTK-PhototherapeutisKeratstomy [7500 sexs |,liso [PTK-PhototherapeutisKeratstomy [7500 sexs,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,isi [Argonldiode laser for retinal detatshment [103590 [|,isi [Argonldiode laser for retinal detatshment [103590,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,fis2 lntralas application forkeriocomss [175 ps,fis2 lntralas application forkeriocomss [175 ps,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,hiss ]E0G-lectooculogram i810.,hiss ]E0G-lectooculogram i810.,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,hiss |VEP-visualy evoked potaiial —|r20 Jas [|,hiss |VEP-visualy evoked potaiial —|r20 Jas,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,fis6Vitestomy- pas plina 0s Yun903—,fis6Vitestomy- pas plina 0s Yun903—,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,hia? lntraviteal injections fanibiouss i038 90. [|],hia? lntraviteal injections fanibiouss i038 90.,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,lintravitreal Injection of drugs (Ranibizumab) 2700 [3105,lintravitreal Injection of drugs (Ranibizumab) 2700 [3105,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,isi [MRI Orbit and brain Js195 Bsr,isi [MRI Orbit and brain Js195 Bsr,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,fis2[Daeqosystography 40. i —_ [J,fis2[Daeqosystography 40. i —_ [J,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,154 |Extracapsular cataract extraction (ECCE) with [3450 13968 Sooners Pee [F faiscssecomr pe Pe S Somace e Pe lacrylic)/PMMA IOL,Extracapsular cataract extraction (ECCE) with [3450 13968 Sooners Pee [F faiscssecomr pe Pe S Somace e Pe lacrylic)/PMMA IOL,,,,,,0.35,True
Hyderabad,17062025153951_CGHS Rate 2024- Hyderabad.pdf,4,[E57 [Pars plana ensstomy witiwihowtTOL__[10850____n03___ [| S (acuaactiog ore PS scleral fixated IOL,E57 [Pars plana ensstomy witiwihowtTOL__[10850____n03___ [| S (acuaactiog ore PS scleral fixated IOL,,,,,,0.35,True
