city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,$-11011/09/2019/Add!.DDG(HQ)/CGHS.,$-11011/09/2019/Add!.DDG(HQ)/CGHS.,,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,2014 CGHS rates.,2014 CGHS rates.,,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,draw attention to the Office Memoranda No S-11011/09/2019/Addl.DDG(HQ)/CGHS dated,draw attention to the Office Memoranda No S-11011/09/2019/Addl.DDG(HQ)/CGHS dated,,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,14.01.2020 and 03.06.2020 vide which CGHS rates have been notified by the Government for 15 and 25 investigations and procedures respectively for treatment at CGHS empanelled Health Care Organizations (HCOs) and to state that it is now decided to notify CGHS package rates for another 21 investigations/ treatment procedures as per the details given,01.2020 and 03.06.2020 vide which CGHS rates have been notified by the Government for 15 and 25 investigations and procedures respectively for treatment at CGHS empanelled Health Care Organizations (HCOs) and to state that it is now decided to notify CGHS package rates for another 21 investigations/ treatment procedures as per the details given,,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,under and shall be treated as part of CGHS package Rates 2014. S [Investigations/procedures/ CGHS rate for NABL/ NABH Accredited No implants 1,under and shall be treated as part of CGHS package Rates 2014. S [Investigations/procedures/ CGHS rate for NABL/ NABH Accredited No implants,,,1,nabh,,0.5,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,2 HR CT chest Rs 2000/-,2 HR CT chest Rs 2000/-,,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,3 Fluid air exchange Rs 5000 /-per eye|,3 Fluid air exchange Rs 5000 /-per eye,,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,4 C3F8 GAS Injection Rs 5000 /-per eye,4 C3F8 GAS Injection Rs 5000 /-per eye,,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,5 Diurnal variation of IOP. Rs 1500),5 Diurnal variation of IOP. Rs 1500),,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,6 Rs 5000 Fper eye,6 Rs 5000 Fper eye,,,,,,0.35,True
Meerut,20062025125532_CGHS-Rates-for-21-Treatment-Procedures-or-Investigations-in-continuation-of-2014-CGHS-Rates-(11-Feb-2021)-- (7).pdf,1,7 Rs 7000 /-per eve,7 Rs 7000 /-per eve,,,,,,0.35,True
