city_folder,source_pdf,source_page,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,S-11011/09/2019/ Addl. DDG(HQ)/CGHS,S-11011/09/2019/ Addl. DDG(HQ)/CGHS,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,attention to the Office Memorandum No S 11045/36/2012-CGHS(HEC) dated 01.10.2014,attention to the Office Memorandum No S 11045/36/2012-CGHS(HEC) dated 01.10.2014,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,and refer to the OM of even number dated 14.01.2020 vide which CGHS rates have been,and refer to the OM of even number dated 14.01.2020 vide which CGHS rates have been,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,notified for 15 investigations and procedures and to state that it is now decided to notify,notified for 15 investigations and procedures and to state that it is now decided to notify,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,CGHS package rates rates for another 25 investigations and their inclusion in CGHS rate list,CGHS package rates rates for another 25 investigations and their inclusion in CGHS rate list,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,[4 ACE 4.90074,4 ACE,,,4.90074,,,0.5,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,[6 [ENA (Quantitativey C0,6 [ENA (Quantitativey C0,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,[8 [Fecal Calprotectin | CBN,8 [Fecal Calprotectin | CBN,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,1,[16.___ |Video Laryngoscopy dT SSCS~« «OY,16.___ |Video Laryngoscopy dT SSCS~« «OY,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,"18. H1 N14 (RT-PCR) 1,084/",H1 N14 (RT-PCR),,,1084,,,0.65,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,"(19. __| Erythropoietin level 2,000/-","(19. __| Erythropoietin level 2,000/-",,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,"[20 JAntiHeVigM id 1,000 fat. anti HAV IgM | Fr)","20 JAntiHeVigM id 1,000 fat. anti HAV IgM | Fr)",,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,HbsAg quantitative 650/4,HbsAg quantitative 650/4,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,Typhidot IgM [40074,Typhidot IgM [40074,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,24. Hepatitis B Core AntibodyHBcAB level(Hepatitis B 480/- Core IgM antibody),Hepatitis B Core AntibodyHBcAB level(Hepatitis B 480/- Core IgM antibody),,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,(25. [antiHbs Cid 850),(25. [antiHbs Cid 850),,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,2. The rates for investigations from S.No 1 to S No. 25 are for NABL/ -NABH accredited HCOs. The rates for non- NABL/ non- NABH Accredited HCOs shall be 15% less.,The rates for investigations from S.No 1 to S No. 25 are for NABL/ -NABH accredited HCOs. The rates for non- NABL/ non- NABH Accredited HCOs shall be 15% less.,,,,nabh,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,& Family Welfare vide CD No 460 dated 02/06/2020. Digitally signed by SANJAY Date:Fri Jun 05 15:00:35 1ST,& Family Welfare vide CD No 460 dated 02/06/2020. Digitally signed by SANJAY Date:Fri Jun 05 15:00:35 1ST,,,,,,0.35,True
Ranchi,20062025144702_Notification-of-CGHS-Rates-for-25-Investigations-under-CGHS-(3-June-2020) (11).pdf,2,"2020 Reason: Approved (Dr. Sanjay Jain ) Director, CCHS To: 1 All Ministries / Departments, Government of India 2 All Health Care Organizations empanelled under CGHS to note. 3 Director, CGHS, Nirman Bhawan, New Delhi 4 Estt.l/ Estt.lI/ Estt.lll/ Estt.lV Sections, Ministry of Health & Family Welfare 5 Admn.!/ Admn.I| Sections of Dte.GHS 6 Addl. Director, CGHS(HQ) / Addl. Directors of CGHS Cities/ Zones 7 Rajya Sabha / Lok Sabha Secretariat 8 Registrar, Supreme Court of India /Punjab & Haryana High Court, Chandigarh 9 Under Secretary, U.P.S.C. 10 Under Secretary Finance Division 11 Deputy Secretary (Civil Service News), Department of Personnel & Training, 5th Floor, Sardar Patel Bhawan, New Delhi. 12 PPS to Secretary (H&FW)/ PPS to OSD(RB)(HFW), Ministry of Health & Family Welfare 13, PPS to AS&MD, NRHM / AS (H)/ AS&DG, CGHS_/DGHS 14 Secretary, Staff Side, 13-C, Ferozshah Road, New Delhi 15 All Staff Side Members of National Council (JCM) (as per list attached) 16 Office of the Comptroller & Auditor General of India, 10 Bahadur Shah Zafar Marg, New Delhi 17 All Offices / Sections / Desks in the Ministry 2","2020 Reason: Approved (Dr. Sanjay Jain ) Director, CCHS To: 1 All Ministries / Departments, Government of India 2 All Health Care Organizations empanelled under CGHS to note. 3 Director, CGHS, Nirman Bhawan, New Delhi 4 Estt.l/ Estt.lI/ Estt.lll/ Estt.lV Sections, Ministry of Health & Family Welfare 5 Admn.!/ Admn.I| Sections of Dte.GHS 6 Addl. Director, CGHS(HQ) / Addl. Directors of CGHS Cities/ Zones 7 Rajya Sabha / Lok Sabha Secretariat 8 Registrar, Supreme Court of India /Punjab & Haryana High Court, Chandigarh 9 Under Secretary, U.P.S.C. 10 Under Secretary Finance Division 11 Deputy Secretary (Civil Service News), Department of Personnel & Training, 5th Floor, Sardar Patel Bhawan, New Delhi. 12 PPS to Secretary (H&FW)/ PPS to OSD(RB)(HFW), Ministry of Health & Family Welfare 13, PPS to AS&MD, NRHM / AS (H)/ AS&DG, CGHS_/DGHS 14 Secretary, Staff Side, 13-C, Ferozshah Road, New Delhi 15 All Staff Side Members of National Council (JCM) (as per list attached) 16 Office of the Comptroller & Auditor General of India, 10 Bahadur Shah Zafar Marg, New Delhi 17 All Offices / Sections / Desks in the Ministry",,,2,,,0.5,True
