S.No,City,AD City Name,City ID,Hospital Name,Accreditation,Tier Type,Address,Facilities,Raw JSON
1,Ahmedabad,Ahmedabad,10,32 PEARLS MULTISPECIALITY DENTAL,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""32 PEARLS MULTISPECIALITY DENTAL"", ""tierType"": ""TIER 1""}"
2,Ahmedabad,Ahmedabad,10,32 Pearls Multispeciality Dental Clinics and Implant Centre,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""32 Pearls Multispeciality Dental Clinics and Implant Centre"", ""tierType"": ""TIER 1""}"
3,Ahmedabad,Ahmedabad,10,3RD EYE - THE VITREORETINA CLINIC and EYE HOSPITAL,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""3RD EYE - THE VITREORETINA CLINIC and EYE HOSPITAL"", ""tierType"": ""TIER 1""}"
4,Ahmedabad,Ahmedabad,10,AARTHAM HOSPITAL,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""AARTHAM HOSPITAL"", ""tierType"": ""TIER 1""}"
5,Ahmedabad,Ahmedabad,10,AASHU DENTAL and MULTISPECIALITY CLINIC,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""AASHU DENTAL and MULTISPECIALITY CLINIC"", ""tierType"": ""TIER 1""}"
6,Ahmedabad,Ahmedabad,10,Agrawals Multispeciality Dental Clinic,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""Agrawals Multispeciality Dental Clinic"", ""tierType"": ""TIER 1""}"
7,Ahmedabad,Ahmedabad,10,AHMEDABAD BARIATRICS AND COSMETICS P LTD,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""AHMEDABAD BARIATRICS AND COSMETICS P LTD"", ""tierType"": ""TIER 1""}"
8,Ahmedabad,Ahmedabad,10,Ahmedabad Institute of Medical Service,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""Ahmedabad Institute of Medical Service"", ""tierType"": ""TIER 1""}"
9,Ahmedabad,Ahmedabad,10,AIRMED PATHOLOGY PRIVATE LIMITED,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""AIRMED PATHOLOGY PRIVATE LIMITED"", ""tierType"": ""TIER 1""}"
10,Ahmedabad,Ahmedabad,10,AMDAVAD EYE LASER HOSPITALS PVT LTD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""AMDAVAD EYE LASER HOSPITALS PVT LTD"", ""tierType"": ""TIER 1""}"
11,Ahmedabad,Ahmedabad,10,Anjna Hospital & Clinisearch Pvt. Ltd.,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""Anjna Hospital & Clinisearch Pvt. Ltd."", ""tierType"": ""TIER 1""}"
12,Ahmedabad,Ahmedabad,10,Apollo CBCC Cancer Care,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""Apollo CBCC Cancer Care"", ""tierType"": ""TIER 1""}"
13,Ahmedabad,Ahmedabad,10,APOLLO CVHF HEART INSTITUTE,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""APOLLO CVHF HEART INSTITUTE"", ""tierType"": ""TIER 1""}"
14,Ahmedabad,Ahmedabad,10,Apollo hospitals city centre,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""Apollo hospitals city centre"", ""tierType"": ""TIER 1""}"
15,Ahmedabad,Ahmedabad,10,Apollo Hospitals City Centre,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""Apollo Hospitals City Centre"", ""tierType"": ""TIER 1""}"
16,Ahmedabad,Ahmedabad,10,APOLLO HOSPITALS INTERNATIONAL LTD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""APOLLO HOSPITALS INTERNATIONAL LTD"", ""tierType"": ""TIER 1""}"
17,Ahmedabad,Ahmedabad,10,APOLLO PRIME EYE HOSPITALS,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""APOLLO PRIME EYE HOSPITALS"", ""tierType"": ""TIER 1""}"
18,Ahmedabad,Ahmedabad,10,Baroda Heart Institute and Research Centre,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""Baroda Heart Institute and Research Centre"", ""tierType"": ""TIER 1""}"
19,Ahmedabad,Ahmedabad,10,BAVISHI EYE HOSPITAL,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""BAVISHI EYE HOSPITAL"", ""tierType"": ""TIER 1""}"
