Name of Restricted Medicine,Dosage type
AMINOGLUTETHIMIDE TAB (PACK SIZE 10X1),Tab
AMIVANTAMAB 350 MG INJ (PACK SIZE 1X1),Inj.
APALUTAMIDE 60 MG TAB (PACK SIZE 1X120),Tab
APALUTAMIDE 60 MG TAB (PACK SIZE 1X60),Tab
ASCIMINIB (KYZIFIC) FCT 40 MG (PACK SIZE 1X60),Tab
AVELUMAB 200MG INJ (PACK SIZE 1x1),Inj.
BENRALIZUMAB 30 MG PFS INJ (PACK SIZE 1X1),Inj.
BRENTUXIMAB VEDOTIN 50MG INJ (PACK SIZE 1 X 1),Inj.
CAPMATINIB 150 MG TAB (PACK SIZE 1X60),Tab
CAPMATINIB 200 MG TAB (PACK SIZE 1X60),Tab
CONCIZUMAB 150 MG PFS INJ (PACK SIZE 1X1),Inj.
CONCIZUMAB 60 MG PFS INJ (PACK SIZE 1X1),Inj.
DABRAFENIB 75 MG CAP (PACK SIZE 1X28),Caps
DAROLUTAMIDE 300 MG TAB (PACK SIZE 1X16),Tab
DOSTARLIMAB 500MG/10ML INJ (PACK SIZE 1X1),Inj.
ECULIZUMAB 300MG/30ML INJ (PACK SIZE 1X1),Inj.
ENFORTUMAB VEDOTIN 20 mg INJ. (PACK SIZE 1x1),Inj.
ENTRECTINIB 100 mg Capsules (PACK SIZE 1x30),Caps
ENTRECTINIB 200 mg Capsules (PACK SIZE 1x90),Caps
EPTACOG ALFA (ACTIVATED) HUMAN RECOMBINANT COAGULATION FACTOR VII ACTIVATED 1 MG INJ (PACK SIZE 1x1),Inj.
EPTACOG ALFA (ACTIVATED) HUMAN RECOMBINANT COAGULATION FACTOR VII ACTIVATED 2MG (PACK SIZE 1X1),Inj.
ERENUMAB SOLUTION INJ 70 MG/ML (PACK SIZE 1X1),Inj.
ERENUMAB SOLUTION INJ 70 mg/ml (PACK SIZE 1X1)(PFS),Inj.
EVOLOCUMAB 140 MG INJ (PACK SIZE 1X1),Inj.
GILTERITINIB (XOSPATA) 40 MG TAB (PACK SIZE 1X21),Tab
GUSELKUMAB 100 mg SOLUTION (PACK SIZE 1X1),Solution
IMIGLUCERASE 400 IU INJ (PACK SIZE 1X1),Inj.
Inj. Enfortumab Vedotin 30 mg (PACK SIZE 1x1),Inj.
INJ. INCLISIRAN (SYBRAVA) 284 MG/1.5 ML,Inj.
INNOTUZUMAB OZOGAMICIN 1MG INJ (PACK SIZE 1x1),Inj.
IPILIMUMAB 50 MG INJ(PACK SIZE 1X1),Inj.
IVOSIDENIB 250 MG (TIBSOVO) (PACK SIZE 1X60),Tab
IXEKIZUMAB 80 MG (COPELLOR ) PFS (PACK SIZE 1X1),Pfs
LUSPATERCEPT 25 MG INJ (PACK SIZE 1X1),Inj.
LUSPATERCEPT 75 MG INJ (PACK SIZE 1X1),Inj.
MAVACAMTEN 10 MG CAP (PACK SIZE 1X14),Caps
MAVACAMTEN 15 MG CAP (PACK SIZE 1X14),Caps
MAVACAMTEN 2.5 MG CAP (PACK SIZE 1X14),Caps
MAVACAMTEN 5 MG CAP (PACK SIZE 1X14),Caps
MEPOLIZUMAB 100 MG INJ (PACK SIZE 1X1)(PFS),Pfs
NIRAPARIB 100 MG TAB (PACK SIZE 8X7),Tab
NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 1000 IU INJ (PACK SIZE 1x1),Inj.
NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 2000 IU INJ (PACK SIZE 1X1),Inj.
NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 500 IU INJ (PACK SIZE 1X1),Inj.
OBINUTUZUMAB 1000 MG INJ (PACK SIZE 1x1),Inj.
OCRELIZUMAB (OCREVUS) 300MG/1 ML INJ,Inj.
PEGYLATED LIPOSOMAL IRINOTECAN 4.3 MG/ML (PACK SIZE 1X1),Vial
POLATUZUMAB VEDOTIN (POLIVY) 30 MG INJ (PACK 1X1),Inj.
RAMUCIRUMAB 100 MG 10 ML INJ(PACK SIZE 1X1),Inj.
RAMUCIRUMAB 500 MG 50 ML INJ(PACK SIZE 1X1),Inj.
RISDIPLAM 60 MG (PACK SIZE 1X1),Solution
ROMOSOZUMAB 105 MG/1.17 ML INJ (PACK SIZE 2PFS x 1),Inj.
RUCAPARIB 200MG TAB (PACK SIZE 1X60),Tab
RUCAPARIB 300MG TAB (PACK SIZE 1X60),Tab
SELPERCATINIB 120 MG TAB (PACK SIZE 1X28),Tab
SELPERCATINIB 160 MG TAB (PACK SIZE 1X28),Tab
SELPERCATINIB 40 MG TAB (PACK SIZE 1X28),Tab
SELPERCATINIB 80 MG TAB (PACK SIZE 1X28),Tab
SERPLULIMAB 100 MG/10 ML INJ (PACK SIZE 1X1),Inj.
SOMATROGON (GENRYZON) 24 MG INJ (PACK SIZE 1X1),Inj.
SOMATROGON (GENRYZON) 60 MG INJ (PACK SIZE 1X1),Inj.
