Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,,ICD CODE,SURGERY CODE,SYSTEM,PREAUTH EVIDENCE,CLAIM EVIDENCE,PACKAGE AMOUNT
,M1 CRITICAL CARE,J46,M1.1,Medical Management of Acute Severe Asthma With Acute Respiratory Failure(Swine Flu),"Arterial Blood Gas Analysis (ABG) , Chest X-Ray PA View(1 Film), ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG), Spirometry, Case Sheet with treatment details",75000
,M1 CRITICAL CARE,J44.0,M1.2,Medical Management of COPD with Respiratory Failure (Infective Exacerbation)(Swine Flu),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast, Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG) - , Spirometry, Clinical Photograph, Case sheet with clinical improvement",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M1 CRITICAL CARE,J20.0,M1.3,Medical Management of Acute Bronchitis with Pneumonia and Respiratory Failure(Swine Flu),"High Resolution CT Chest, Throat Swab For KLB, Chest X-Ray PA View(1 Film), Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Case sheet with clinical improvement",100000
,M1 CRITICAL CARE,J80.A,M1.4,Medical Management of ARDS(Swine Flu),"Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast/ CT Scan Chest Without Contrast, Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG) (4 To 6 Per Day), Clinical Photograph, Case sheet with clinical improvement",100000
,M1 CRITICAL CARE,J80.B,M1.5,Medical Management of ARDS with Multi Organ failure(Swine Flu)(R65.1),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast, Throat Swab For KLB, LFT(liver function tests), Renal Profile, Complete Blood Picture [CBP], Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG) (4 To 6 Per Day), Chest X-Ray PA View(1 Film), Case sheet with clinical improvement",150000
,M1 CRITICAL CARE,J80.C,M1.6,Medical Management of ARDS with DIC (Blood and Blood Products)(Swine Flu) (D65),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast, Throat Swab For KLB, Blood Coagulation Analyzer (BCA) Or Coagulation Profile, ICU Photo on Ventilator, Case sheet with clinical History","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Case sheet with clinical improvement",175000
,M1 CRITICAL CARE,T63,M1.7,Medical Management of Poisioning Requiring Ventilatory Assistance,"Renal Profile, Chest X-Ray PA View(1 Film), Arterial Blood Gas Analysis (ABG), Clinical Photograph, Case sheet with clinical History, ICU Photo on Ventilator, Drug/Poison levels","Arterial Blood Gas Analysis (ABG), Clinical Photograph, MLC copy, Case sheet with clinical improvement",50000
,M1 CRITICAL CARE,R57.2,M1.8,Intensive care management of Septic Shock,"Blood Culture & Sensitivity - Automated, Arterial Blood Gas Analysis (ABG), Renal Profile, USG Abdomen, Urine Culture & Sensitivity, LFT(liver function tests), ICU Photo on Ventilator, Case sheet with clinical History","Arterial Blood Gas Analysis (ABG), Case sheet with clinical improvement",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M1.9 Severe sepsis,-,M1.9A,Severe sepsis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2 GENERAL MEDICINE,D69.5,M2.1,Medical Management of Thrombocytopenia With Bleeding Diathesis,"Bone Marrow Aspiration , Prothrombin Time , Lepto Spiral Anti Bodies, Activated Partial Thrombo Plastin Time (APTT), Parasite F Test and Quantitative Buffy Coat (QBC), Platelet Count, Webex","Case sheet with clinical improvement , Routine Histopathological Examination",50000
,M2 GENERAL MEDICINE,D66,M2.2.1,Medical Management of Hemophilia (D67/D68.0),"Factor VIII & IX, VWF,Prothrombin Time, Activated Partial Thrombo Plastin Time (APTT), Webex",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2 GENERAL MEDICINE,D69.9,M2.2.2,Medical Management of Other Coagulation Disorders,"Factor VIII & IX, VWF",Case sheet with clinical improvement,60000
,M2 GENERAL MEDICINE,D56.1,M2.3,Medical Management of Chelation Therapy For Thalassemia Major,"Serum Ferritin Levels, PCV, Complete Haemogram, Perpheral Smear For Malarial Parasites (MP)",Case sheet with clinical improvement,15000
,M2 GENERAL MEDICINE,B50.0,M2.4,Medical Management of Cerebral Malaria,"Cerebrospinal Fluid (CSF) Analysis Cell Count - , Parasite F Test and Quantitative Buffy Coat (QBC), Complete Blood Picture [CBP], Chest X-Ray PA View(1 Film),CT-Scan Brain Plain And Contrast ,LFT(liver function tests) , Renal Profile",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2 GENERAL MEDICINE,A17.0,M2.5,Medical Management of TB Meningitis,"X-Ray PA View(1 Film), Cerebrospinal Fluid (CSF) Analysis Cell Count, Sputum for Acid-Fast Bacilli (AFB) Staining, LFT(liver function tests), LP procedure photos",Case Sheet with treatment details,60000
,M2 GENERAL MEDICINE,T63.0,M2.6,Medical Management of Snake Bite Requiring Ventilator Support,"Arterial Blood Gas Analysis (ABG), Blood Coagulation Analyzer (BCA) Or Coagulation Profile, Clinical Photograph",Case sheet with clinical improvement,100000
,M2 GENERAL MEDICINE,T63.2.A,M2.7,Medical Management of Scorpion Sting Requiring Ventilator Support,"Arterial Blood Gas Analysis (ABG) [8Hrly (3-Day X 7-Days), Random Blood Sugar (RBS) Test [8Hrly, ECG (Electro Cardiogram), 2D ECHO With Colour Doppler , Cardiac Enzymes, ICU Photo on Ventilator",Case sheet with clinical improvement,60000
,M2 GENERAL MEDICINE,R40.2,M2.8,Medical Management of Metabolic Coma Requiring Ventilatory Support,"Arterial Blood Gas Analysis (ABG), Random Blood Sugar (RBS) Test, Serum Creatinine Levels, Blood - Urea, ECG (Electro Cardiogram), 2D ECHO With Colour Doppler, Serum Creatinine Levels, T3, T4, TSH, MRI Brain With Contrast, Serum Ammonia Levels, Urine Ketones Bodies, Serum Electrolytes, LFT(liver function tests), Cerebrospinal Fluid (CSF) Analysis Cell Count, ICU Photo on Ventilator",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.11 Acute febrile illness,-,M2.11A,Acute febrile illness,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.12 Chronic Hepatitis,-,M2.12A,Chronic Hepatitis,"Clinical notes with planned line of treatment, LFT, USG - Whole Abdomen","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.13 Liver abscess,-,M2.13A,Liver abscess,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.14 Visceral leishmaniasis,-,M2.14A,Visceral leishmaniasis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
