Category,S.No,Code,Procedure,Package Amount,Follow-up Consultation,Investigations
MEDICAL,1,MF1.1,Acute severe asthma with Acute respiratory failure,10000,4000,2000
MEDICAL,2,MF1.2,COPD Respiratory Failure (infective exacerbation),10000,4000,2000
MEDICAL,3,MF4.1.12,Term baby with persistent pulmonary hypertension Ventilation-HFO Hyperbilirubinemia Clinical sepsis,6000,3000,1000
MEDICAL,4,MF4.1.16,Term baby with seizures ventilated,5000,2000,1000
MEDICAL,5,MF4.2.1.5,Acute Severe Asthma (Ventilated),4000,1600,800
MEDICAL,6,MF4.2.2.5,Infective Endocarditis,10000,4000,2000
MEDICAL,7,MF4.2.3.1,Meningo- encephalitis (Non Ventilated),6500,2000,1500
MEDICAL,8,MF4.2.3.2,Meningo- encephalitis ( Ventilated),6500,2000,1500
MEDICAL,9,MF4.2.3.3,Status Epilepticus,6500,2000,1500
MEDICAL,10,MF4.2.3.5,Intra cranial bleed,6500,2000,1500
MEDICAL,11,MF4.3.2.1,Congenital heart disease with congestive cardiac failure,5000,2000,1000
MEDICAL,12,MF4.3.2.2,Acquired heart disease with congestive cardiac failure,5000,2000,1000
MEDICAL,13,MF4.3.3.1,Steroid Resistant Nephritic syndrome Complicated or Resistant,5000,2000,1000
MEDICAL,14,MF4.3.4.3,Anaemia of unknown cause,5000,2000,1000
MEDICAL,15,MF4.3.5.1,Pyogenic meningitis,5000,2000,1000
MEDICAL,16,MF4.3.5.2,Neuro tuberculosis,5000,2000,1000
MEDICAL,17,MF4.3.5.3,Neuro tuberculosis with ventilation,5000,2000,1000
MEDICAL,18,MF4.3.6.1,Convulsive Disorders/Status Epilepticus (Fits),5000,2000,1000
MEDICAL,19,MF4.3.6.3,Encephalitis / Encephalopathy,5000,2000,1000
MEDICAL,20,MF5.1.1,Acute Mi (Conservative Management Without Angiogram),10000,4000,2000
MEDICAL,21,MF5.1.2,Acute Mi (Conservative Management With Angiogram),10000,4000,2000
MEDICAL,22,MF5.1.3,Acute Mi With Cardiogenic Shock,10000,4000,2000
MEDICAL,23,MF5.1.4,Acute Mi Requiring Iabp Pump,10000,4000,2000
MEDICAL,24,MF5.1.5,Refractory Cardiac Failure,10000,4000,2000
MEDICAL,25,MF5.2,Infective Endocarditis,10000,4000,2000
MEDICAL,26,MF5.4,Complex Arrhythmias,10000,4000,2000
MEDICAL,27,MF6.2,Nephrotic Syndrome,5000,2000,1000
MEDICAL,28,MF7.1,ADEM or Relapse in Multiple sclerosis,5000,2000,1000
MEDICAL,29,MF7.2,CIDP,5000,2000,1000
MEDICAL,30,MF7.3,Hemorrhagic Stroke/Strokes,5000,2000,1000
MEDICAL,31,MF7.4,Ischemic Strokes,5000,2000,1000
MEDICAL,32,MF7.6,NEUROINFECTIONS -Fungal Meningitis,5000,2000,1000
MEDICAL,33,MF7.7,NEUROINFECTIONS -Pyogenic Meningitis,5000,2000,1000
MEDICAL,34,MF7.8,NEUROINFECTIONS -Viral Meningoencephalitis ( Including Herpes encephalitis),5000,2000,1000
MEDICAL,35,MF7.9,Neuromuscular (myasthenia gravis),4000,1600,800
MEDICAL,36,MF8.4,Interstitial Lung diseases,10000,4000,2000
MEDICAL,37,MF8.5,Pneumoconiosis,10000,4000,2000
MEDICAL,38,MF9.1,Pemphigus / Pemphigoid,3500,1400,700
MEDICAL,39,MF10.1,SLE (SYSTEMIC LUPUS ERYTHEMATOSIS),6000,2400,1200
MEDICAL,40,MF10.2,SCLERODERMA,6000,2400,1200
MEDICAL,41,MF10.3,MCTD MIXED CONNECTIVE TISSUE DISORDER,6000,2400,1200
MEDICAL,42,MF10.4,MCTD MIXED CONNECTIVE TISSUE DISORDER,6000,2400,1200
MEDICAL,43,MF10.5,VASCULITIS,6000,2400,1200
MEDICAL,44,MF11.2.1,Hypopitutarism,8000,3500,1500
MEDICAL,45,MF11.2.2,Pituitary - Acromegaly,6500,2000,1500
MEDICAL,46,MF11.2.4,"Delayed Puberty Hypogonadism (ex.Turners synd, Kleinfelter synd)",7000,2500,1500
MEDICAL,47,MF12.9,Gastric varices,7000,2500,1500
MEDICAL,48,MF12.13,Chronic pancreatitis with severe pain,7000,2500,1500
MEDICAL,49,MF12.15,Cirrhosis with Hepatic Encephalopathy,7000,2500,1500
MEDICAL,50,MF12.16,Cirrhosis with hepato renal syndrome,7000,2500,1500
