Category,S.No,Code,Procedure,Package Amount,Follow-up Consultation,Investigations
SURGICAL,1,SF1.1.5.6,Total Thyroidectomy,3000,1200,600
SURGICAL,2,SF1.4.2,Portocaval Anastomosis,10000,4000,2000
SURGICAL,3,SF1.6.1 glands bilateral,Operation of Adernal,4000,1600,800
SURGICAL,4,SF1.7.2 Anastomosis,Splenorenal,10000,4000,2000
SURGICAL,5,SF1.7.3,Warren shunt,10000,4000,2000
SURGICAL,6,SF6.8.2,Spleenectomy + Devascularisation + Spleno Renal Shunt,10000,4000,2000
SURGICAL,7,SF6.9.1,Lap- Pancreatic Necrosectomy,8000,3500,1500
SURGICAL,8,SF6.9.3,Pancreatic Necrosectomy (open),8000,3500,1500
SURGICAL,9,SF7.1.1.1,Coronary Balloon Angioplasty,10000,4000,2000
SURGICAL,10,SF7.1.1.3,Coronary Balloon Angioplasty with Drug eluting stent(00.45),10000,4000,2000
SURGICAL,11,SF7.1.7.1,Renal Angioplasty,10000,4000,2000
SURGICAL,12,SF7.1.7.2,Peripheral Angioplasty,10000,4000,2000
SURGICAL,13,SF7.1.7.3,Vertebral Angioplasty,10000,4000,2000
SURGICAL,14,SF7.2.1.1,Coronary Bypass Surgery,10000,4000,2000
SURGICAL,15,SF7.2.1.2,Coronary Bypass Surgery-post Angioplasty,10000,4000,2000
SURGICAL,16,SF7.2.1.3,CABG with IABP pump,10000,4000,2000
SURGICAL,17,SF7.2.1.4,CABG with aneurismal repair,10000,4000,2000
SURGICAL,18,SF7.2.9.1,With Prosthetic Ring,10000,4000,2000
SURGICAL,19,SF7.2.9.2,Without Prosthetic Ring,10000,4000,2000
SURGICAL,20,SF7.2.9.3,Open Pulmonary Valvotomy,10000,4000,2000
SURGICAL,21,SF7.2.9.4,Closed mitral valvotomy,10000,4000,2000
SURGICAL,22,SF7.2.9.5,Mitral Valvotomy (Open),10000,4000,2000
SURGICAL,23,SF7.2.10.1,Mitral Valve Replacement (With Valve),10000,4000,2000
SURGICAL,24,SF7.2.10.2,Aortic Valve Replacement (With Valve),10000,4000,2000
SURGICAL,25,SF7.2.10.3,Tricuspid Valve Replacement,10000,4000,2000
SURGICAL,26,SF7.2.10.4,Double Valve Replacement (With Valve),10000,4000,2000
SURGICAL,27,SF7.2.19.1,Carotid Embolectomy,10000,4000,2000
SURGICAL,28,SF8.6.4,Encephalocele,4000,1600,800
SURGICAL,29,SF8.8.12,Surgeries on adrenal gland in Children,4000,1600,800
SURGICAL,30,SF9.2.1,Open Pyelolithotomy,2000,800,400
SURGICAL,31,SF9.2.2,Open Nephrolithotomy,2000,800,400
SURGICAL,32,SF9.2.3,Open Cystolithotomy,2000,800,400
SURGICAL,33,SF9.2.4,Laparoscopic Pyelolithotomy,2000,800,400
SURGICAL,34,SF9.3.1,Cystolithotripsy,2000,800,400
SURGICAL,35,SF9.3.2,PCNL,2000,800,400
SURGICAL,36,SF9.3.3,ESWL,2000,800,400
SURGICAL,37,SF9.3.4,URSL,2000,800,400
SURGICAL,38,SF9.7.1,Endoscope Removal of stone in Bladder,2000,800,400
SURGICAL,39,SF9.9.1,Transurethral resection of prostate (TURP),2000,800,400
SURGICAL,40,SF9.9.2,TURP Cyst lithotripsy,2000,800,400
SURGICAL,41,SF9.9.3,Open prostatectomy,2000,800,400
SURGICAL,42,SF10.1.1,Craniotomy and Evacuation of Haematoma Subdural,8000,3200,1600
SURGICAL,43,SF10.1.2,Craniotomy and Evacuation of Haematoma Extradural,8000,3200,1600
SURGICAL,44,SF10.1.3,Evacuation of Brain Abscess-burr hole,8000,3200,1600
SURGICAL,45,SF10.1.4,"Excision of Lobe (Frontal,Temporal,Cerebellum etc.)",8000,3200,1600
SURGICAL,46,SF10.1.5,Excision of Brain Tumor Supratentorial,8000,3200,1600
SURGICAL,47,SF10.1.6,Parasagital,8000,3200,1600
SURGICAL,48,SF10.1.7,Basal,8000,3200,1600
SURGICAL,49,SF10.1.8,Brain Stem,8000,3200,1600
SURGICAL,50,SF10.1.9,C P Angle Tumor,8000,3200,1600
SURGICAL,51,SF10.1.10,Other tumors,8000,3200,1600
SURGICAL,52,SF10.1.11,Excision of Brain Tumors Subtentorial,8000,3200,1600
SURGICAL,53,SF10.1.12,Ventriculoatrial /Ventriculoperitoneal Shunt,8000,3200,1600
SURGICAL,54,SF10.1.14,Subdural Tapping,8000,3200,1600
SURGICAL,55,SF10.1.15,Ventricular Tapping,8000,3200,1600
SURGICAL,56,SF10.1.16,Abscess Tapping,8000,3200,1600
SURGICAL,57,SF10.1.17,Vascular Malformations,8000,3200,1600
SURGICAL,58,SF10.1.18,Peritoneal Shunt,8000,3200,1600
SURGICAL,59,SF10.1.19,Atrial Shunt,8000,3200,1600
SURGICAL,60,SF10.1.20,Meningo Encephalocele,8000,3200,1600
SURGICAL,61,SF10.1.21,Meningomyelocele,8000,3200,1600
SURGICAL,62,SF10.1.25,Ventriculo-Atrial Shunt,8000,3200,1600
SURGICAL,63,SF10.1.26,Excision of Brain Abcess,8000,3200,1600
SURGICAL,64,SF10.1.27,Aneurysm Clipping,8000,3200,1600
SURGICAL,65,SF10.1.28,External Ventricular Drainage (EVD),8000,3200,1600
SURGICAL,66,SF10.3.2,Trans Sphenoidal Surgery,8000,3200,1600
SURGICAL,67,SF10.3.3,Trans Oral Surgery,8000,3200,1600
SURGICAL,68,SF10.4.1,Endoscopy procedures,8000,3200,1600
SURGICAL,69,SF10.4.2,Intra-Cerebral Hematoma evacuation,8000,3200,1600
SURGICAL,70,SF10.7.1,Temporal Lobectomy,8000,3200,1600
SURGICAL,71,SF10.7.2,Lesionectomy type 1,8000,3200,1600
SURGICAL,72,SF10.7.3,Lesionectomy type 2,8000,3200,1600
SURGICAL,73,SF10.7.4,Temporal lobectomy plus Depth Electrodes,8000,3200,1600
SURGICAL,74,SF15.2.1.1,Stay in General Ward@Rs.500/day,8000,3200,1600
SURGICAL,75,SF15.2.1.2,Stay in Neuro ICU@Rs.4000/day,8000,3200,1600
SURGICAL,76,SF15.2.2,Surgical Treatment (Up to),8000,3200,1600
