S.No,Hospital Name,Hospital Type,District,Mandal,Municipality,Mithra Name (Mobile Number),Specialities
1,AVS Wellness Hospitals,Corporate,Hyderabad,Ameerpet,Ghmc,Makam Anuradha (9866728357),S5 - Orthopedic Surgery And Procedures; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M2 - General Medicine; M5 - Cardiology
2,Aarogyamatha Udumala Hospital,Corporate,Jangoan,Jangaon,Jangaon,Naga Raju Mekala(9951431325),S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery
3,Aashritha Hospital,Corporate,Medchal-Malkajgiri,Kapra,Ghmc,A.Manjula (8179959624),S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M2 - General Medicine
4,Abhaya Kidney and Multi Speciality Hospital,Corporate,Mancherial,Mancherial,Mancherial,Medi.Rajeswari (7382165487); Namani. Swaroopa Rani (8919498334),S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M6 - Nephrology
5,Adarsha Hospital,Corporate,Karimnagar,Karimnagar,Karimnagar,Gurram Karunadevi (9666409646),S1 - General Surgery; S2 - Ent Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M2 - General Medicine; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology
6,Agur Prime Hospital,Corporate,Mahabubnagar,Jadcherla,Jadcherla,Indira (8498029151); K.Vijaya Lakshmi(9573352316),S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M6 - Nephrology
7,Ajantha Multi Speciality and Children Hospital,Corporate,Jangoan,Jangaon,Jangaon,T. Maheswari (9866207293),S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma
8,Ajara Health Care and Research Centere Pvt Ltd,Corporate,Hanumakonda,Hanamkonda,Warangal,S Raju (9963224043); Paramkusham . Hariprasad (9394896269); T.Pavani (8374161295),S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S15 - Poly Trauma; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology
9,Ajay Hospitals Multi Speciality,Corporate,Yadadri Bhuvanagiri,Bhongir,Bhongir,G.Balaiah (7842430532); Silveru Sabitha (9640617605),S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M2 - General Medicine; M6 - Nephrology
10,Akhila Eye Hospital A Unit of Mandm Healthcare Services,Corporate,Khammam,Khammam (Urban),Khammam,Vuppu. Bhaskar Rao (8499937337),S3 - Ophthalmology Surgery
