scheme_code,city_display_name,aliases,is_cghs_covered,source_note
CGHS,Ahmedabad,"Ahmedabad|Amdavad",true,"User-provided CGHS city list screenshot"
CGHS,Allahabad and Prayagraj and Varanasi,"Allahabad|Prayagraj|Varanasi|Banaras|Benares|Kashi",true,"User-provided CGHS city list screenshot"
CGHS,Bengaluru,"Bengaluru|Bangalore",true,"User-provided CGHS city list screenshot"
CGHS,Bhopal,"Bhopal",true,"User-provided CGHS city list screenshot"
CGHS,Bhubaneswar,"Bhubaneswar|Bhuvaneswar",true,"User-provided CGHS city list screenshot"
CGHS,Chandigarh,"Chandigarh",true,"User-provided CGHS city list screenshot"
CGHS,Chennai,"Chennai|Madras",true,"User-provided CGHS city list screenshot"
CGHS,Dehradun,"Dehradun|Dehra Dun",true,"User-provided CGHS city list screenshot"
CGHS,Delhi and NCR,"Delhi|New Delhi|NCR|Delhi NCR",true,"User-provided CGHS city list screenshot"
CGHS,Hyderabad,"Hyderabad",true,"User-provided CGHS city list screenshot"
CGHS,Indore,"Indore",true,"User-provided CGHS city list screenshot"
CGHS,Jabalpur,"Jabalpur",true,"User-provided CGHS city list screenshot"
CGHS,Jaipur,"Jaipur",true,"User-provided CGHS city list screenshot"
CGHS,Kolkata,"Kolkata|Calcutta",true,"User-provided CGHS city list screenshot"
CGHS,Lucknow,"Lucknow",true,"User-provided CGHS city list screenshot"
CGHS,Meerut,"Meerut",true,"User-provided CGHS city list screenshot"
CGHS,Mumbai,"Mumbai|Bombay",true,"User-provided CGHS city list screenshot"
CGHS,Nagpur,"Nagpur",true,"User-provided CGHS city list screenshot"
CGHS,Patna,"Patna",true,"User-provided CGHS city list screenshot"
CGHS,Pune,"Pune|Poona",true,"User-provided CGHS city list screenshot"
CGHS,Ranchi,"Ranchi",true,"User-provided CGHS city list screenshot"
CGHS,Shillong,"Shillong",true,"User-provided CGHS city list screenshot"
CGHS,Trivandrum,"Trivandrum|Thiruvananthapuram",true,"User-provided CGHS city list screenshot"
