scheme_code,hospital_id,hospital_name,aliases,state,district,city,address,hospital_type,empanelment_type,empanelment_status,specialities,source,last_updated
PMJAY,HOSP36G132844,Gandhi Hospitals,Gandhi Hospitals,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132845,Niloufer Hospital,Niloufer Hospital,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132846,M.N.J.Hospitals,M.N.J.Hospitals,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132847,Govt. Genl. And Chest Hospital,Govt. Genl. And Chest Hospital,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132848,Osmania General Hospital,Osmania General Hospital,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132849,"Govt General Hosptial, Nalgonda","Govt General Hosptial, Nalgonda",TELANGANA,NALGONDA,NALGONDA,,Public,PMJAY,active,"M1, M2, S8, M7, S7, S1, S10, S11, S2, S3, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132850,Govt Maternity Hospital Hanmakonda,Govt Maternity Hospital Hanmakonda,TELANGANA,WARANGAL URBAN,WARANGAL URBAN,,Public,PMJAY,active,"M2, S15",24_June_2026.csv,-NA-
PMJAY,HOSP36G132851,Sarojini Devi Eye Hospital,Sarojini Devi Eye Hospital,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132852,Dist Hospital Sanga Reddy,Dist Hospital Sanga Reddy,TELANGANA,SANGAREDDY,SANGAREDDY,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S10, S11, S3, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132853,Area Hospital Medak,Area Hospital Medak,TELANGANA,MEDAK,MEDAK,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132854,"Govt Meternity Hospital,Koti","Govt Meternity Hospital,Koti",TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132855,Superintendent- Govt. Maternity Hospital- Nayapul,Superintendent- Govt. Maternity Hospital- Nayapul,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132856,Area Hospital - Mancherial,Area Hospital - Mancherial,TELANGANA,MANCHERIAL,MANCHERIAL,,Public,PMJAY,active,"M1, M7, M2, S1, S2, S3, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132857,Area Hospital - Gadwal,Area Hospital - Gadwal,TELANGANA,JOGULAMBA GADWAL,JOGULAMBA GADWAL,,Public,PMJAY,active,"M1, S7, S10, S11, S4",24_June_2026.csv,-NA-
PMJAY,HOSP36G132858,GOVERNMENT GENERAL HOSPITAL - SURYAPET,GOVERNMENT GENERAL HOSPITAL - SURYAPET,TELANGANA,SURYAPET,SURYAPET,,Public,PMJAY,active,"M1, M2, S8, M7, S7, S1, S10, S11, S15, S2, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132859,Nims Hospitals,Nims Hospitals,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S7, M4, M5, M6, S1, S10, S11, S12, S13, S14, S15, S2, S3, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36G132860,District Hospital -  Kingkoti,District Hospital -  Kingkoti,TELANGANA,HYDERABAD,HYDERABAD,,Public,PMJAY,active,"S1, S2, S3, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132861,District Hospital - Karimnagar,District Hospital - Karimnagar,TELANGANA,KARIMNAGAR,KARIMNAGAR,,Public,PMJAY,active,"M1, M7, S7, M2, S1, S2, S3, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132862,District Hospital-Khammam-,District Hospital-Khammam-,TELANGANA,KHAMMAM,KHAMMAM,,Public,PMJAY,active,"M1, M2, S8, M7, S7, S1, S10, S11, S2, S3, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132863,GOVERNMENT GENERAL HOSPITAL  - Nizamabad,GOVERNMENT GENERAL HOSPITAL  - Nizamabad,TELANGANA,NIZAMABAD,NIZAMABAD,,Public,PMJAY,active,"M1, M2, S8, M7, S1, S2, S3, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36G132864,Government Maternity Hospital Warangal,Government Maternity Hospital Warangal,TELANGANA,WARANGAL URBAN,WARANGAL URBAN,,Public,PMJAY,active,"S15, S4",24_June_2026.csv,-NA-
