Sl_No,State_UT,City,Tier,Designation,Notes
2,Andhra Pradesh/Telangana,Hyderabad,Tier I (X City),X (Tier I),UA
2,Andhra Pradesh/Telangana,Vijayawada,Tier II (Y City),Y (Tier II),UA
2,Andhra Pradesh/Telangana,Warangal,Tier II (Y City),Y (Tier II),UA
2,Andhra Pradesh/Telangana,Greater Visakhapatnam,Tier II (Y City),Y (Tier II),M.Corpn.
2,Andhra Pradesh/Telangana,Guntur,Tier II (Y City),Y (Tier II),UA
2,Andhra Pradesh/Telangana,Nellore,Tier II (Y City),Y (Tier II),UA
4,Assam,Guwahati,Tier II (Y City),Y (Tier II),UA
5,Bihar,Patna,Tier II (Y City),Y (Tier II),UA
6,Chandigarh,Chandigarh,Tier II (Y City),Y (Tier II),UA
7,Chhattisgarh,Durg-Bhilai Nagar,Tier II (Y City),Y (Tier II),UA
7,Chhattisgarh,Raipur,Tier II (Y City),Y (Tier II),UA
10,Delhi,Delhi,Tier I (X City),X (Tier I),UA
12,Gujarat,Ahmadabad,Tier I (X City),X (Tier I),UA
12,Gujarat,Rajkot,Tier II (Y City),Y (Tier II),UA
12,Gujarat,Jamnagar,Tier II (Y City),Y (Tier II),UA
12,Gujarat,Bhavnagar,Tier II (Y City),Y (Tier II),UA
12,Gujarat,Vadodara,Tier II (Y City),Y (Tier II),UA
12,Gujarat,Surat,Tier II (Y City),Y (Tier II),UA
13,Haryana,Faridabad,Tier II (Y City),Y (Tier II),M.Corpn. *HRA dependency basis only
13,Haryana,Gurgaon,Tier II (Y City),Y (Tier II),UA *HRA dependency basis only
15,Jammu & Kashmir,Srinagar,Tier II (Y City),Y (Tier II),UA
15,Jammu & Kashmir,Jammu,Tier II (Y City),Y (Tier II),UA
16,Jharkhand,Jamshedpur,Tier II (Y City),Y (Tier II),UA
16,Jharkhand,Dhanbad,Tier II (Y City),Y (Tier II),UA
16,Jharkhand,Ranchi,Tier II (Y City),Y (Tier II),UA
